item_id,area,status,what_is_supported,primary_citations,what_is_not_supported,safe_repeatability,risk_or_citation_gap
SX-01,scope and provenance,已做,"Phase 3A–6SQ reports plus adb/artifacts/work inventories were reviewed host-side; existing SHA manifests and command manifests are present in many evidence directories.","README.md; PROJECT_STATUS.md; findings/phase-3a-report.md; findings/phase-6sn-sq-report.md; work/luna_worker_phase6si_test_catalog_20260810.md","A manifest proves file integrity, not runtime causality or a complete caller chain.","YES: enumerate paths, verify hashes/schema, compare report-to-raw references.","No single canonical manifest covers every phase; citation is corpus-level where phase produced many runs."
SX-02,exact device state,已做,"Saved snapshots identify PS7331.4463N/KFTRWI/trona, Android 9, kernel 4.4.146+, ADB device, User 0, and Fire HOME priority 50.","PROJECT_STATUS.md; adb/phase6qe/PHASE6QE-DEVICE-READONLY-20260810-02/; adb/phase6q/PHASE6Q-RO-20260805-01/; device/baseline/","A current live state beyond the saved snapshot date is not established by this audit.","YES only on saved files: compare properties, user, package, resolver and metadata outputs.","Fresh device capture was intentionally not taken; no adb was run."
SX-03,Phase 3A–3B resolver/runtime,已做,"Read-only/static resolver analysis and historical clean runtime captures show Fire Launcher resumed/focused and priority behavior; no Fire-specific callback writer was proven.","findings/phase-3a-report.md; findings/phase-3b-report.md; adb/phase3b/; output/rendered/","Amazon callback override, production caller provenance and all reboot-time rewrites remain bounded/unknown.","YES: host-side parse and compare existing logcat/dumps; no new Home event.","Exact old PS7330 evidence must not be silently mixed with current PS7331 state."
SX-04,Phase 3C preferred HOME mutation,已做,"Controlled P0 ordinary preferred record write, reboot persistence observation and explicit rollback were captured; effective Fire result was separately observed.","findings/phase-3c-report.md; adb/phase3c/; adb/mutation-tests/HOME-PRIORITY-P0/","This does not prove a normal caller can durably replace User-0 HOME on current build or control Fire package state.","NO as runtime experiment; YES as artifact/hash review.","Mutation, reboot and rollback are not to be replayed for completeness."
SX-05,package/component/HOME tests,已做,"Existing package disable/hide/suspend/uninstall/force-stop and component tests include before/after/restore evidence; protected gates rejected Fire/Tahoe operations before the intended state change where documented.","findings/phase-5-adb-surface-tests.md; adb/mutation-tests/; adb/package-tests/; adb/component-tests/; adb/phase6fa/; adb/phase6bl/","Privileged caller behavior and a successful Fire disable/component mutation are not established.","YES: inspect saved output and manifests only.","Do not rerun package setters, force-stop, install/uninstall, or component mutation."
SX-06,child/KFT lifecycle,已做,"Existing child/profile runs show Tahoe child HOME, per-user Fire state, switch-back to User 0 and Fire restoration; KFT writer scope is child/profile-oriented.","adb/phase6bk/; adb/phase6cb/; adb/phase6di/; findings/phase-6qe-report.md; work/luna_worker_phase6sq_home_pms_writer_20260810.md","Legitimate tx3 caller provenance and a User-0 Fire restoration side effect are not closed.","YES: compare saved users/package/HOME snapshots and static UserInfo/caller paths.","No child creation, switch/start/stop, unlock, or raw KFT Binder transaction."
SX-07,Accessibility fallback,已做,"Installed Microsoft service bind-but-empty and bounded user-consented foreground fallback were observed; formal HOME resolver remained Fire.","adb/phase6de/; adb/phase6iq/; adb/phase6cx/; findings/phase-6rs-ru-report.md","Persistence under other GUI states and PendingIntent variant runtime remain unknown; foreground redirect is not HOME.","YES: inspect existing accessibility/activity/HOME captures.","Do not enable secure settings, install/update APK, or replay isolation/redirect."
SX-08,DPM/Profile/Backup,已做,"Owner/admin/UID gates and passive backup/profile evidence exist; shell caller rejection is bounded and no active restore writer was shown.","adb/phase6dt/; adb/phase6di/; findings/phase-6qe-report.md; findings/phase-6rs-ru-report.md","A legitimate Profile Owner relay or native/backup callback remains unverified.","YES: read saved dumpsys device_policy/users/package and static manifests.","No owner provisioning/removal or raw tx100/73/80/81 parcels."
SX-09,private Binder/service visibility,已做,"Amazon private service names are visible in service list, while shell service check/find denial is preserved; visibility is not a callable handle.","adb/phase6q/PHASE6Q-RO-20260805-01/service_list.stdout.txt; adb/phase6bd/; findings/phase-6qf-report.md; work/luna_worker_phase6qf_existing_runtime_audit_20260810.md","Method-level private service behavior and full registration/caller mapping remain unknown.","YES: read saved service list/check/find and host-side class-to-registration mapping.","Unknown/private Binder transactions and caller spoofing are risk-rejected."
SX-10,OTA/OOBE/post-install,已做,"Static receiver, protected broadcast, OOBE gates, OTA APK/post-install and block-image/partition-writer artifacts are present; some read-only baseline evidence exists.","artifacts/phase6n/; artifacts/phase6i/; artifacts/phase6u/; artifacts/phase6mm-updater-blockimage-20260810-01/; findings/phase-6sj-sm-report.md","Natural official OTA post-state, native/fosinit handoff and exact user propagation are not observed.","YES: inspect saved captures, source CFG, manifests and archive EOF/provenance.","No broadcast injection, OTA replay, recovery/updater execution, reboot solely to test, or partition write."
SX-11,driver/node policy,已做,"Exact-device node metadata/labels/SELinux context and static driver policy/source closure artifacts exist; QE metadata explicitly says no node open and no driver data read.","adb/phase6qe/PHASE6QE-DEVICE-READONLY-20260810-02/; work/luna_worker_phase6qe_driver_policy_20260810.md; artifacts/phase6nb-amzn-drv-test-source-closure-20260810-02/; findings/phase-6sb-se-report.md","Exact native client, active retail branch, ioctl behavior, handoff and sensitive effect remain UNKNOWN.","YES: compare saved stat/label/property outputs and host-side source/policy joins.","No driver open/read/write/ioctl, procfs access beyond saved metadata, kernel/root/remount."
SX-12,root/exploit,已做,"The mtk-easy-su APK was installed/launched; Root control stopped at warning/preflight and a later observation did not prove privilege transition.","findings/phase-5-mtk-easy-su-apk-test.md; findings/phase-5-mtk-easy-su-root-test.md; findings/phase-5-mtk-easy-su-root-followup.md; adb/phase5/MTK-EASY-SU-APK-T01/","No uid=0, successful su -c id, permissive SELinux, Magisk, bootloader unlock or partition mutation was observed.","NO: do not repeat device-side Root flow; YES for offline payload/source review.","Root button/opaque payload execution and any exploit retry were explicitly risk-rejected or stopped."
SX-13,Phase 5 low-level/CVE routes,已做,"Existing reports cover source/config/compatibility, futex/CMDQ/MTK and OTA/boot boundary reviews; some controlled read-only/runtime gates exist.","findings/phase-5-level3-approval-report.md; findings/phase-5-low-level-inventory.md; findings/phase-5-h-cmdq-ioctl-compat-level3-report.md; findings/phase-5-exact-ota-and-boot-chain-evidence.md","No successful privilege transition or sensitive sink chain follows from source capability alone.","YES: host-side source/member/hash/config comparisons.","Kernel exploit, ioctl, recovery, flash, crafted payload and partition operations are not repeatable under this audit."
SX-14,Phase 6QE–6QF runtime closure,已做,"Existing worker reports reconcile package/KFT/DPM/Accessibility/service/OOBE/driver evidence and preserve UNKNOWN edges; QE metadata has 12-command exact-device read-only anchor.","work/luna_worker_phase6qf_existing_runtime_audit_20260810.md; findings/phase-6qe-report.md; findings/phase-6qf-report.md","No ordinary app/shell to trusted identity to HOME/package/root chain is closed.","YES: validate the existing matrix, hashes, paths and static joins.","Do not mislabel mutation captures as current authorization or rerun excluded tests."
SX-15,Phase 6RS–6SQ closure,已做,"Settings/PMS, SystemUI callback, rootless fallback, IPC/OTA/driver and HOME/PMS writer reports retain bounded negative conclusions; KFT remains child/profile-scoped.","findings/phase-6rs-ru-report.md; findings/phase-6rv-rx-report.md; findings/phase-6sb-se-report.md; findings/phase-6sf-si-report.md; findings/phase-6sj-sm-report.md; findings/phase-6sn-sq-report.md; work/luna_worker_phase6sq_home_pms_writer_20260810.md","Caller/holder/user mapping, native aliases, exact retail joins and natural lifecycle evidence remain incomplete.","YES: host-only report/raw/hash and source-to-caller/policy/data-flow joins.","No new device runtime, unknown Binder, OTA, driver, package state, user lifecycle or root work."
SX-16,read-only reproducibility,已做,"README and existing worker catalogs identify safe host-only checks: hash/schema/path validation, saved snapshot comparison, static CFG/source joins and archive provenance.","README.md; work/luna_worker_phase6si_test_catalog_20260810.md; work/luna_worker_phase6sm_test_catalog_20260810.md; findings/phase-6sf-si-report.md","A host-only check cannot reproduce a writer, accepted identity, lifecycle event or post-OTA runtime effect.","YES, subject to no overwrite and no device connection.","Any script whose default path invokes adb must not be run; use parser/dry-run/read-only modes only."
SX-17,not performed in Phase 6SX,未做,"No adb, device connection, Binder transaction, driver operation, OTA/recovery/updater action, reboot, package/settings mutation or root action was performed for this audit.","This report; findings/phase-6sn-sq-report.md; work/luna_worker_phase6qf_existing_runtime_audit_20260810.md","Fresh current-state evidence was not collected; catalog relies on existing repo evidence.","YES: continue host-only audit only.","Explicit user boundary prohibits replay; no claim of fresh runtime observation."
SX-18,cannot safely replay historical runtime,不可重做,"Historical mutation/HOME/component/package tests, child lifecycle, accessibility harness and reboot runs already have evidence and rollback/guard records.","adb/mutation-tests/; adb/home-key-tests/; adb/home-settings-tests/; adb/component-tests/; adb/phase6cm/; findings/phase-3c-report.md; PROJECT_STATUS.md","Replaying would add state change or depend on exact prior user/device conditions and would not close current caller gaps.","NO runtime replay; YES artifact verification.","Do not reboot, switch users, change HOME/package/component state or alter secure settings."
SX-19,risk-rejected high-impact operations,因風險拒絕,"Reports explicitly reject unknown/private Binder, protected broadcast, driver open/ioctl, OTA/recovery/updater, crafted archive, root/exploit, remount/SELinux and partition mutation.","findings/phase-6qf-report.md; findings/phase-6sf-si-report.md; findings/phase-6rs-ru-report.md; findings/phase-6sn-sq-report.md; README.md","There is no negative runtime result for these operations; only a deliberate safety boundary.","NO; only offline evidence review is safe.","Do not interpret refusal as disproval or absence of a vulnerability."
SX-20,citation gaps,引用缺口,"Reports preserve the main bounded conclusions but several edges lack exact raw line/caller UID, holder/grant provenance, numeric user mapping, native alias, or post-OTA state.","work/luna_worker_phase6qe_existing_tests_20260810.md; work/luna_worker_phase6sq_home_pms_writer_20260810.md; findings/phase-6sn-sq-report.md","Missing citations prevent upgrading UNKNOWN to Confirmed and do not authorize risky probes.","YES: fill with existing-file existence/hash checks and offline source-to-caller joins.","Remain UNKNOWN until exact evidence is found; no inference from static capability or service visibility."
