id,surface,evidence_type,path,line_or_offset,observation,static_anomaly,reachability_status,sha256
6UP-ASP-001,ASP,implementation,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,82014-82030 / 0x5ca9a-0x5caca,"tablet branch checks ASP_PERMISSION; non-tablet returns true",static cross-build policy anomaly,current tablet shell bypass closed,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
6UP-ASP-002,ASP,denial-before-native,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,82063-82070 / 0x5cba2-0x5cbb4,"command guard returns -EACCES before nativeCommand when denied",no,closed by static ordering and saved denied result,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
6UP-ASP-003,ASP,publication,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,82737-82746 / 0x5d3c2-0x5d3ea,"publishes audiosignalprocessor and initializes native ASP callbacks",publication is real; no bypass shown,shell service handle found in saved capture but transaction denied,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
6UP-ASP-004,ASP,runtime-capture,adb/phase6bv/PHASE6BV-ASP-RO-20260805-01/probe.txt,stored output,"UID 2000 shell; service found; transaction result -13",no,closed for supplied KFTRWI shell capture,2291924584cfcdb4b6be673859118212765d7cb612df7142dc2d9a5364bc9138
6UP-ASP-005,ASP,runtime-log,adb/phase6bv/PHASE6BV-ASP-RO-20260805-01/logcat_asp.txt,stored output,"saved permission-denial log; no evidence of native execution",no,closed for supplied capture,de8add982327d2be69822d360b95d6ae8d2c3fd50f5afad59801433382518285
6UP-PW-001,prewarm,implementation,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,40453-40474 / 0x36f0c-0x36f5c,"APP_PREWARM check result is not visibly consumed before clearCallingIdentity",static authorization anomaly candidate,ordinary-app reachability not established,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
6UP-PW-002,prewarm,process-sink,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,40480-40503 / 0x36f72-0x36fc8,"package/user lookup reaches startProcessLocked with reason prewarm",process/resource deputy candidate; no HOME writer,not reached by saved shell call,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
6UP-PW-003,prewarm,publication,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,41077-41084 / 0x3782c-0x3784c,"BinderService constructed and published via service name",publication is real,shell lookup denied in saved capture,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
6UP-PW-004,prewarm,registration,artifacts/amazon-services/amazonactivitymanager_fosinit.xml,9-24,"vendor service registration and activity manager vendor manager metadata",no,registration does not imply shell reachability,5d212c94f047aee7abc85ef6dc99aa92ca61e3e3d9318bb69db3c10d9e0da411
6UP-PW-005,prewarm,binder-contract,decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,394721-394739 / 0x6454-0x648c,"Proxy transaction 1 writes package and two ints; Stub block 394892-395074 enforces token and dispatches",no separate Stub caller gate visible,shell cannot reach Stub in saved capture,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71
6UP-PW-006,prewarm,known-caller,artifacts/phase6x/prewarm-authorization-20260805-01/prewarm-authorization-evidence.csv,6X-PW-006-009,"known caller is privileged Alexa-side code with APP_PREWARM request; ordinary sideloaded caller not established",supports privileged-contract interpretation,ordinary-app caller not established,c47219d139ccf30511c8b4dcc89df8ff2729748e4598b96ae22973d5d23d7e50
6UP-PW-007,prewarm,runtime-capture,adb/phase6em/PHASE6EM-AM-ACTIVITY-PREWARM-READONLY-20260806-01/result.json,stored JSON,"service not shell-reachable; no dispatch; HOME/users/package/PID unchanged",no,closed for supplied shell capture,ea7416350d64348612906d609efe1bd44847ab653c4948dc20cc7688c5d9b8df
6UP-PW-008,prewarm,runtime-denial,adb/phase6em/PHASE6EM-AM-ACTIVITY-PREWARM-READONLY-20260806-01/service_check.stdout.txt + transaction_1_prewarm_firelauncher_user0.stderr.txt,stored output,"Service amazonactivitymanager: not found; service does not exist",no,closed before Binder dispatch,fb64966bad778f1a3ebd748027b77455f07dfbddaf3ceac69995e3be7e6f5c31
