id,area,low_priv_caller,sensitive_sink,writer_or_boundary,evidence,status,next_safe_host_only_step,risk_rejected_path
RX-01,OOBE/BOOT_AFTER_SYSTEM_OTA,ordinary app or shell,enable OobeHomeActivity and secure setup-state writes,BootAfterSystemOTAReceiver -> PackageHelper -> OOBEActivationHelper; protected broadcast in android.amazon.perm; AMS isProtectedBroadcast gate; phase6gu/phase6my, CLOSED_FOR_ORDINARY_CALLER; receiver-local permission absent but no reachable caller shown,Compare all shipped protected-broadcast source manifests and exact-build runtime input artifacts; do not replay the action,Manual protected broadcast or OTA/OOBE lifecycle replay; no Binder transaction
RX-02,OOBE user scope,ordinary app or shell,OOBE component/settings sink for User 0,receiver Context and provider calls have context-bound user but selected sender has no explicit user argument; phase6mo/phase6my,UNKNOWN_SCOPE_NOT_VULNERABILITY,Host-only trace ActivityManager broadcast user resolution and Context creation on exact PS7331; preserve unknown User ID,No broadcast injection or induced OOBE state change
RX-03,package enable/disable,shell UID 2000,Fire or arbitrary package/component enabled state,PackageManagerShellCommand -> PMS setEnabledSetting; protected-package rejection is established; phase6mh plus phase6fg/phase6eu, CLOSED_FOR_FIRE; generic non-Fire targets not a privilege finding,Review PMS caller/package-protection branches and existing writer inventory for target-independent bypass conditions; no duplicate device test,No pm enable/disable mutation; no hide/suspend/uninstall/force-stop/clear
RX-04,Amazon package flags/metadata,ordinary app or shell,Amazon package metadata/flags,IAmazonPackageManager mutators require amazon.permission.ADD_RM_PKG_METADATA; production caller/holder universe incomplete; phase6mt/phase6mu/phase6mx,UNKNOWN_METADATA_ONLY; no evidence of HOME or enabled-state sink,Complete host-only generated Stub/service permission-holder and caller inventory; map first consumers to sensitive state,No private Binder lookup, guessed transaction, parcel, or service call
RX-05,child/profile lifecycle,ordinary app or shell,per-user Fire/Tahoe/Launcher3 component state,AmazonUserManagerService.enableKftLauncherComponent(UserInfo) writes supplied UserInfo.id; child provisioning/system loop evidence; phase6mh/phase6mn,UNKNOWN_CALLER_SCOPE; child writer confirmed, ordinary caller-to-User-0 sink not closed,Resolve exact Stub permission and all production callers from host corpus; retain UserInfo.id scope,No KFT transaction, user/profile creation, switch, PIN, DPM owner provisioning, or mutation
RX-06,profile picker,ordinary app or shell,startProfilePicker/profile UI,AmazonProfileService helper has explicit profile-picker launch sink; source/caller graph and authorization incomplete; phase6mq,UNKNOWN_CALLER; sink is profile picker, not HOME selector,Complete host-only caller graph and permission check; classify UI effect separately from package/HOME sinks,No private Binder transaction or profile-picker invocation
RX-07,settings/DPM,ordinary app or shell,secure settings or policy-backed package state,DPM/profile and Settings paths have owner/permission gates; OOBE writes setup state only; phase6mn/phase6qf/phase6du/phase6ef,BOUNDED_CLOSED_FOR_REVIEWED_PATHS; no low-privilege sensitive sink chain,Compare exact-build permission holders and downstream identity transitions in source/disassembly; keep unreviewed methods UNKNOWN,No settings write, DPM provisioning, owner/profile mutation, or Binder replay
RX-08,Vending/package writers,ordinary app or shell,package/component enabled state,seven Vending writers are internal policy/verifier/install helpers with derived/internal inputs; no Fire/HOME literal; PMS gate applies; phase6mb,NO_CLOSED_LOW_PRIV_CHAIN; target/caller reachability not established,Host-only trace intent/token provenance and PMS enforcement for each writer,No verifier/install trigger or package mutation
RX-09,native overlay/system-server,ordinary app or shell,HOME/package state through native overlay,Native/system-server and Amazon native selection found no launcher/HOME/state-setter edge; overlays disabled; phase6je,NEGATIVE_CLOSURE_IN_REVIEWED_CORPUS,Extend host-only symbol/literal scan to remaining shipped native libraries and overlay configs,No overlay enablement, remount, partition or system image operation
RX-10,input,ordinary app or shell,input injection or key/callback sink,IAmazonInputManager inject/injectSequence carry Binder PID/UID to native sinks; permission/native enforcement and caller universe incomplete; no HOME resolver/component writer in reviewed block; phase6mr,UNKNOWN_AUTHORIZATION_NOT_HOME_SINK,Resolve helper callsites and exact native permission enforcement from host artifacts,No input injection, guessed transaction, service call, key event, or UI mutation
RX-11,OTA controller/update,reduced-privilege caller,verified OTA install/update dispatch,OTA Java verifier and native updater reach extraction/block-image/partition write; no ordinary caller chain; phase6p/phase6md/phase6qf,PRIVILEGED_CAPABILITY_NO_LOW_PRIV_CHAIN; updater sink confirmed, caller path not,Host-only complete verifier/controller caller and function-pointer registry provenance; observe only natural official OTA read-only aftermath,No UpdateSystem.install, OTA/recovery/updater execution, crafted archive, traversal input, reboot, or partition write
RX-12,native drivers/procfs,ordinary app or shell,driver ioctl/native control sink,live metadata and SELinux evidence do not close caller-to-sensitive-sink path; phase6qf/phase6mv,UNKNOWN_SURFACE_NOT_VULNERABILITY,Complete exact compiled client + domain allow + caller mapping host-only,No device-node open/read/write/ioctl, kernel probe, root/exploit, remount, SELinux mutation
RX-13,Amazon activity/prewarm,ordinary app or shell,process start/prewarm via identity-clearing service,APP_PREWARM check then clearCallingIdentity and startProcessLocked; only Alexa caller preserved; phase6qc/phase6qf,UNKNOWN_CALLER; non-HOME process sink only,Complete Stub/onTransact, permission holders, and exact-build callers host-only,No private Binder transaction, service call, process launch replay, or exploit payload
