id,branch,artifact_or_service,entrypoint_or_symbol,caller_or_trigger,permission_or_gate,binder_identity_or_domain,user_scope,sink_or_effect,observed_runtime,classification,evidence,missing_edge,next_safe_step
P17-KFT-KFT-01,Amazon KFT / user-manager,amazon.os.IAmazonUserManager,Stub.onTransact tx3,IAmazonUserManager.Proxy.enableKftLauncher,interface descriptor only; no tx3-local caller permission visible,unchanged caller identity through dispatch,supplied optional UserInfo,dispatches BinderService.enableKftLauncher; returns boolean,no tx3 dispatch observed; saved runtime service unavailable/not found,Strong evidence,boot-fosframework/disassembly.log:370637-370740; findings/phase-6cz-kft-child-gating.md:97-102,actual authorized Binder client set; current-user equality,host-side caller/reference comparison only
P17-KFT-KFT-02,Amazon KFT / user-manager,amazon.os.IAmazonUserManager$Stub$Proxy,enableKftLauncher(UserInfo),AmazonUserManagerImpl.createChildUser,caller creates UserInfo with child flag 0x8000; no Proxy permission gate,caller identity transmitted to service,supplied UserInfo parcel including id,IBinder.transact code 3,not runtime-dispatched in saved shell captures,Strong evidence,boot-fosframework/disassembly.log:370398-370421; boot-fosframework/disassembly.log:369180-369217,complete caller inventory beyond known implementation,host-side rg for exact interface calls
P17-KFT-KFT-03,Amazon KFT / user-manager,AmazonUserManagerService,onBootPhase(500),AmazonUserManagerService internal upgrade loop,AmazonPackageManager.isUpgrade plus isChildUser(UserInfo),local/in-process; clear identity occurs inside downstream BinderService method,enumerated UserInfo.id,invokes enableKftLauncher then setUserSetupComplete for child users,no device mutation in this review; runtime artifacts are read-only captures,Strong evidence,fosservices/disassembly.log:55053-55104; phase-6cz report,current-user relation not checked in this loop,host-side inspect same-build user lifecycle references
P17-KFT-KFT-04,Amazon KFT / user-manager,AmazonUserManagerHelper,isChildUser(UserInfo),onBootPhase upgrade caller,AmazonUserInfo.isChild,none; caller is local,flags-derived child/profile scope,permits KFT writer only for flags 0x8000 or 0x8,static only,Strong evidence,boot-fosframework/disassembly.log:079db8-079dea; fosservices/disassembly.log:54166-54174,meaning of flag 0x8 beyond existing decompilation,host-side inspect UserInfo flag definitions
P17-KFT-KFT-05,Amazon KFT / user-manager,AmazonUserManagerService$BinderService,enableKftLauncher(UserInfo),Stub tx3 or internal onBootPhase caller,Amazon Package Manager available and isMMDevice false/true branch; no caller UID/permission check visible,clearCallingIdentity before DPM; restoreCallingIdentity normal and exception paths,supplied UserInfo.id,delegates to tryEnableKftLauncherComponent then DPM empowerKftUser,not runtime-dispatched in saved captures,Strong evidence,fosservices/disassembly.log:54415-54492; phase-6cz report,method-local caller authorization and current-user validation,host-side static comparison only
P17-KFT-KFT-06,Amazon KFT / user-manager,AmazonUserManagerService$BinderService,enableKftLauncherComponent(UserInfo),enableKftLauncher,existsKftLauncher gate; no Binder permission gate in private sink,identity already cleared by wrapper,supplied UserInfo.id,sets Tahoe FreeTimeLauncherActivity component state 1; Fire and Launcher3 application state 2,writer-calls artifact records same three sinks,Strong evidence,fosservices/disassembly.log:54297-54325; artifacts/phase6mh-package-state-writers-20260810-01/writer-calls.csv,downstream setter enforcement details outside this exact writer,host-side inspect setter signatures only
P17-KFT-KFT-07,Amazon KFT / user-manager,AmazonUserManagerService$BinderService,empowerKftUser(UserInfo),enableKftLauncher after component sink,none visible locally; downstream DPM is called after identity clear,clearCallingIdentity token restored by caller,supplied UserInfo.id,sets KFT active admin/profile owner using Free Time component,static only,Probable,fosservices/disassembly.log:54280-54295; 54426-54492; phase-6ay evidence index,DPM-side caller/user policy and exact component preconditions,host-side inspect existing DPM decompilation
P17-KFT-KFT-08,Amazon KFT / user-manager,AmazonUserManagerService,checkManageUsersPermission,other AmazonUserManagerService methods; not tx3,system UID 1000 or UID 0 bypass; otherwise MANAGE_USERS component permission check,reads Binder caller UID; no identity clear in helper,not a KFT user sink,throws SecurityException for unauthorized other methods,static only,Strong evidence,fosservices/disassembly.log:54847-54879,whether any indirect tx3 call reaches helper,host-side call-reference audit limited to tx3
P17-KFT-KFT-09,Amazon KFT / user-manager,AmazonUserManagerService,onStart/getSystemServiceName,ServiceManager publication,none visible in registration path,service published as system Binder service,service scope global; methods consume supplied user ID,publishes amazonusermanagerservice,existing runtime shell lookup not found and SELinux find denied,Strong evidence,fosservices/disassembly.log:54894-54899; 55106-55119; findings/phase-6cz-kft-child-gating.md:168-179,non-shell trusted service-manager clients,host-side inventory of existing publication references
P17-IPC-P17-001,Amazon Framework / IPC,AmazonPackageManagerService$BinderService / AmazonApplicationFlags,setAmazonFlagsForUser; setAmazonMetadataForUser; removeAmazonFlagsForUser; removeAmazonMetadataForUser,Amazon framework facade callers; production requester not found,checkCallingOrSelfPermission(amazon.permission.ADD_RM_PKG_METADATA); signature|amazon grant provenance incomplete,caller identity retained; no clearCallingIdentity observed,explicit user int plus package/list arguments,AmazonApplicationFlags mutation -> writeToFile -> /data/system/amazon_package_flags.xml,No invocation; shell lookup denied; no mutation,Strong evidence,work/luna_worker_phase6qf_ipc_provenance_20260810.csv:2; findings/phase-6mu-amazon-application-flags-closure.md:31-47,production UID/signature holder and cross-user validation not joined,Host-only manifest/callsite join; do not invoke private Binder
P17-IPC-P17-002,Amazon Framework / IPC,PackageRecencyCallback,sendBroadcastWithDelay,system-server package/activity recency callback,internal callback registration; no external Binder entry,system-server/in-process callback,RecentTask userId carried into delayed callback,flag read filters recency broadcast/listener delivery; no HOME/package-state writer,No runtime mutation or callback trigger,Strong evidence,findings/phase-6mu-amazon-application-flags-closure.md:56-82; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:17357-17528,registered listener/receiver set and downstream provenance bounded,Host-only trace registrations and first consumers
P17-IPC-P17-003,Amazon Framework / IPC,GameModeHelper,"isGamingApp(String,int)",system-server game-mode policy caller,internal helper path; no Binder caller gate,system-server helper; package/user args explicit,userId passed to flags getter,AmazonApplicationFlags bit 2 controls game-mode decision; no HOME/package-state writer,No invocation; static only,Strong evidence,findings/phase-6mu-amazon-application-flags-closure.md:56-82; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:135033;135607,flag bit semantics and caller data-flow not fully recovered,Host-only inspect helper body and callers
P17-IPC-P17-004,Amazon Framework / IPC,AppCompatActivityManagerServiceCallback,isIncompatiblePackage,system-server AppCompat callback,internal ActivityManager callback; no external Binder entry,system-server callback,package argument; user context inherited,AmazonApplicationFlags bit 1 feeds compatibility decision; no HOME/package-state writer,No invocation; static only,Strong evidence,findings/phase-6mu-amazon-application-flags-closure.md:56-82; decompiled/baksmali/vdexExtractor/fosservices/disassembly.log:181521-181692,callback registration and downstream component-state effect not joined,Host-only trace callback and decision
P17-IPC-P17-005,Amazon Framework / IPC,BootAfterSystemOTAReceiver -> PackageHelper,enableIncrementalFlow / enableComponent,AmazonPackageManagerService.onBootPhase(550),phase==550; PMS.isUpgrade(); protected action; OOBE/demo/shared-pref predicates,trusted system lifecycle; no ordinary Binder identity,Context-derived user; numeric user unresolved,"setComponentEnabledSetting(OobeHomeActivity, ENABLED) plus incremental OOBE state",Baseline disabled; no replay or mutation,Strong evidence,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java:27-80;56-61; work/luna_worker_kernel_ota_unclosed_closure_20260810.md:41-45,Context user and PMS caller/tx authorization unresolved,Host-only Context/user trace; natural official OTA only
P17-IPC-P17-006,Amazon Framework / IPC,OOBEActivationHelper / SettingsDBUtils,activateOOBEIF; activateOOBE; secure/global put helpers,BootAfterSystemOTAReceiver and trusted OOBE lifecycle,protected lifecycle plus OOBE/demo guards; no ordinary path,FG synchronous; async executor without Binder identity,ContentResolver determines user; no numeric user argument,Secure user_setup_complete=0 and isOOBEActive=1; non-FG also device_provisioned=0,No settings mutation performed,Strong evidence,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/commons/OOBEActivationHelper.java:53-75; artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java:21-72,Context-to-user mapping and async ordering not established,Host-only Context trace; do not edit settings
P17-IPC-P17-007,Amazon Framework / IPC,AmazonPackageManagerService.onBootPhase / BOOT_AFTER_SYSTEM_OTA,sendBroadcast at phase 550,system_server only in recovered sender path; Alexa receivers separate,isUpgrade() and phase 550; protected membership not sender authentication,system_server lifecycle identity; no ordinary Binder caller,receiver delivery user/context unresolved,protected receiver path reaches component/settings lifecycle sinks,No injection or delivery capture,Strong evidence,work/luna_worker_phase6sa_20260810.csv:14-15; work/luna_worker_phase6qf_ipc_provenance_20260810.csv:11,receiver permission and delivered user/context need join,Host-only manifest plus Context/user review
