"id","surface","status","privileged capability or sink","untrusted caller route","exact path or offset","evidence SHA-256","existing test or limit","safe next step"
"OTA-01","signed OTA archive/script","negative within exact package","Fixed image/block writes and /cache/recovery/last_blocklist","Not established; recovery/update context only","updater-script:6-24; 27 ZIP entries","9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5; 4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248","Phase6BP: no symlink/traversal/duplicate/malformed path or post-install executor","Repeat host-only audit on a newly supplied exact signed package"
"OTA-02","file map/blocklist","negative within preserved metadata","13 fixed /dev/block/platform/bootdevice/by-name targets","No dynamic target or caller route shown","target.system.file_map: 3,779 entries; target.blocklist: 13 targets","a535ef97639495175bf4188a1ad1769ba8206bbd69c1b033367b2b5328ecc1ab; f0a3f810d0dab5486a59cc22b9fc9390e9668760ab5a2b1229580a27fb05d83c","duplicate_path_count=0; malformed_line_count=0; non_fixed_bootdevice_targets=[]","Offline re-list/hash only"
"UPD-01","native extraction","capability confirmed; route unproven","PackageExtractFileFn -> ota_open/ExtractToMemory/ExtractEntryToFile","No shell/ordinary-app invocation established","update-binary VA 0x401fb8-0x402788; edges 0x4021b4, 0x4022cc, 0x40238c","02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b","Phase6MD: direct extraction/write correlation; updater_executed=false","Resolve more indirect calls offline"
"UPD-02","native block-image/write","capability confirmed; route unproven","PerformBlockImageUpdate -> open/chown/rename; WriteToPartition -> ota_open/ota_write -> open/write","No low-privilege entry shown","VA 0x408f08-0x40b8b8 and 0x413c40-0x413f10; edges 0x409340, 0x409bdc, 0x409d48, 0x40a2e0, 0x40a378, 0x413dcc, 0x413e3c, 0x426354, 0x426e44","02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b","Phase6MD/6MM selected direct-BL graph only; partition_written=false","Offline CFG/dataflow expansion only"
"PATH-01","symlink/canonicalization","open static boundary; no finding","Path markers symlink_realpath/realpath/readlinkat/readlink exist","No direct selected edge to extraction/write; indirect/unselected paths unresolved","VA 0x1263ac, 0x1263d9, 0x126405, 0x1312ea, 0x1312f5","02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b","Phase6MK canonicalization_direct_edge_count=0; no runtime symlink/traversal test","Resolve indirect/unselected calls offline"
"PATH-02","cache/temp staging","open static boundary; no attacker-controlled path proven","MakeFreeSpaceOnCache has readlink-family call; cache checks branch on result","No untrusted staging input established","MakeFreeSpaceOnCache VA 0x417778-0x417fc4; branches 0x417bf4, 0x409cb8, 0x409ce0","02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b","Phase6MM one call site, no direct write edge; Phase6NE static return branches","Host-only review of complete cache dataflow"
"OOBE-01","post-OTA boot lifecycle","privileged guarded sink confirmed","Protected BOOT_AFTER_SYSTEM_OTA enables OobeHomeActivity and writes OOBE setup state","Ordinary replay not a valid route; numeric user unresolved","fosservices:96087-96126; BootAfterSystemOTAReceiver.java:27-61; PackageHelper.java:11-22","0b59425167183deb610188c4ab05d86a994ca040dcf9f1da240d4a8f9a28f43d","Phase6MY/6NI: no Fire Launcher/preferred-HOME writer in reviewed chain; replay rejected","Natural official OTA then read-only before/after evidence"
"OOBE-02","system-context user scope","system-server capability; ordinary caller route not applicable","System context user derives from process user and propagates to broadcast","No external user parameter; numeric User 0 not live-proven","boot-framework disassembly:449212-449262,449576-449604,452691-452721","6f0baa99083df47123f53353c3230f1a3835638c33c87f4932bb07ea9c351df5","Phase6NI: 12/12 evidence checks; system-user inference only","Offline provenance or natural-event observation"
"ARCH-01","outer 7.3.3.1 source tar.bz2","incomplete corpus","No observed post-install/recovery/HOME helper in top-level or 18 known nested archives","Unlisted outer-tail members cannot be excluded","firmware/original/Fire_HD10-7.3.3.1-20250617.tar.bz2","not EOF-complete in prior bounded listing","Phase6FE listing did not reach EOF; no complete negative claimed","Complete host-only EOF listing"
"SAFE-01","test boundary","confirmed safety restriction","Static analysis only","No device-side caller route tested","Phase6BP/MD/MK/MM/NE/MY/NI summaries","host-only summaries","device_contacted=false; updater_executed=false; recovery_executed=false; partition_written=false","Keep malformed OTA, replay, reboot, flash, root, and partition tests rejected"
