row_id,surface,source_capability,shipped_artifact,caller_reachability,permission_identity,security_effect,package_home_root_effect,status,evidence
6AG-001,Amazon path absence,"No literal drivers/amazon/ member; actual device/amazon/kernel/driver/{amzn_idme,amzn_drv_test,amzn_logger,amzn_sign_of_life}.c; staging Kconfig/Makefile includes Amazon chain",PS7331 platform.tar contains device/amazon path; no final object/module map or Android init loader in scoped source,"No exact shipped native caller for /proc/idme, /proc/amzn_drvs or lifecycle nodes",Source modes/DT permission are insufficient; exact file_contexts/vendor-TE/domain absent,Read/diagnostic or conditional test state only; package/HOME/root effect UNKNOWN,UNKNOWN,SOURCE_ONLY; platform.tar; source_scope_driver_audit; phase6uk
6AG-002,Amazon /proc/amzn_drvs,amzn_drv_test.c:762-866 creates writable test children and dispatches copied input; Kconfig:65-68 default n; Makefile:28,trona_defconfig lacks CONFIG_AMZN_DRV_TEST=y/m; Image marker audit lacks six test markers; module packaging unknown,No exact open/write caller; com.amazon.connectivitydiag presence is not a proc caller,"proc mode/label, init import and TE allow not jointly retained; caller UID/domain UNKNOWN","If built/allowed, factory test dispatcher can alter diagnostic/RTC-special state; no proved package/HOME/root effect",UNKNOWN / conditional,SOURCE_CAPABILITY_ONLY; amzn_drv_test hash 6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e; phase6nb/6nd
6AG-003,Amazon /proc/idme,amzn_idme.c:316-347 registers /proc/idme root/children with read fops; DT permission handling can clear write bits; mac_sec forces 0400/uid 1000,CONFIG_AMZN_IDME=y in merged config; Image/source correspondence does not prove proc instance or final label,IDME HAL/library evidence only; no exact ELF open/read path-specific caller,"UID 1000 is source-side handling, not caller identity; exact file_contexts, vendor-TE allow and domain join incomplete",Possible device metadata disclosure; no write/package/HOME/root effect established,UNKNOWN,SOURCE_PLUS_CONFIG; amzn_idme hash ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e; phase6so/6wi
6AG-004,RPMB char ABI,drivers/char/rpmb/core.c rpmb_fops exposes unlocked_ioctl; .read/.write are NULL; device_create uses RPMB_NAME 0,RPMB source is in PS7331 MT8183 archive; final built-in/module/object and node policy/init join incomplete; no boot Image literal promoted,rpmb_svc/process evidence does not identify exact native open + ioctl callsite or package owner,No capable()/caller policy tuple established; node mode/file_contexts/domain UNKNOWN,Authenticated persistent-storage operation is a possible state sink; no package/HOME/root effect or low-privilege reachability proved,UNKNOWN,SOURCE_ONLY_CALLER_GAP; prior phase6xg/6so RPMB rows
6AG-005,MediaTek perf ioctl,drivers/misc/mediatek/performance/perf_ioctl/perf_ioctl.c registers /proc/perfmgr/perf_ioctl; write/ioctl/compat_ioctl; source mode 0664,"Source/config correspondence only; final proc registration, Image delivery and exact policy tuple not closed",No exact shipped native ELF path-specific open/write/ioctl caller in bounded native inventory,"0664 is owner/group writable and world-readable, not world-writable; effective owner/group, file_contexts and domain allow UNKNOWN",Performance/governor/control state may be affected by an authorized writer; no PMS/HOME/root effect shown,UNKNOWN,SOURCE_PLUS_MODE; gpl inventory/phase6so
6AG-006,AUXADC factory/debug,mtk_auxadc.c:553-667 ioctl/compat ioctl; :1515-1651 attrs and writable dump/status controls; module init,Image contains AUXADC/store_AUXADC markers; exact built-in/module delivery and node policy not proven,No exact shipped native caller for AUXADC ioctl or writable sysfs/proc attributes,"No capable() proof, exact mode/owner, file_contexts or TE caller allow; UID/domain UNKNOWN",ADC/register diagnostic and calibration/hardware-read state may be affected; no package/HOME/root effect established,UNKNOWN,SOURCE_PLUS_IMAGE_MARKER; mtk_auxadc hash 5ffbce942417fc6aca773d90e4c6935f508087f9a80d96138a7ecc30561ed327; source_scope audit
6AG-007,PMIC debugfs,upmu_debugfs.c:323-351 creates mtk_pmic debugfs/sysfs entries including writable dump_pmic_reg,Source exists in MT8183 archive; debugfs policy and final mount/registration state absent from matching artifact,No exact shipped native debugfs writer or caller,"Source debugfs entries are not a policy proof; exact debugfs type, file_contexts/TE and domain UNKNOWN",Potential PMIC register/debug state effect if writable surface is exposed; no package/HOME/root effect,UNKNOWN,SOURCE_ONLY_POLICY_GAP; upmu_debugfs hash db8dfc551225586a717af6cc96057b8d810548cfb5d5693b8ec092; phase6uk
6AG-008,Input touchscreen/factory proc,MTK/Focaltech touchscreen source includes debug/factory/proc helpers under drivers/input/touchscreen/mediatek; exact write handlers vary by selected IC,Source archive contains multiple controller variants; no exact trona object/DT selection or Image-to-driver object proof,No exact shipped native proc/sysfs write caller in bounded corpus,No joined node mode/file_contexts/TE/domain evidence; caller identity UNKNOWN,Possible touch firmware/calibration/input-state mutation; no package/HOME/root effect proved,UNKNOWN,SOURCE_VARIANT_UNRESOLVED; tar member scan; phase6me broad inventory
6AG-009,power-supply writer cross-check,Generic power_supply_sysfs.c .store calls power_supply_set_property only when provider property_is_writeable()>0; existing phase6xg row,CONFIG_POWER_SUPPLY=y; no final provider/object/DT and no exact shipped sysfs policy closure,"No exact shipped native writer, package, UID or domain; generic store is not a caller",S_IWUSR is added conditionally by provider; SELinux/file_contexts/domain allow UNKNOWN,Battery/charger property mutation is provider-dependent; no package/HOME/root effect,UNKNOWN,DEDUP_CROSSCHECK_NOT_NEW; source hash 54409386286849db4768d1b013b0151c3b8e52d3c5b4e434b52d8881364cc38e; phase6xg
6AG-010,input/uinput cross-check,uinput.c:909-933 misc registration with read/write/unlocked_ioctl/compat_ioctl; UI_DEV_CREATE/DESTROY and event writes,CONFIG_INPUT_UINPUT=y; no exact final node mode/SELinux and no Image object proof,No exact shipped native ELF /dev/uinput open/write/ioctl caller; library/package markers absent,"No local capable()/credential gate found; node policy, UID/domain and caller allow UNKNOWN",Synthetic input injection can affect kernel input graph; no PMS/HOME/root effect,UNKNOWN,DEDUP_CROSSCHECK_NOT_NEW; source hash 98b41492311d9b9fb9ccbfe269a2fddc0fb436f3048b7887e1f6e5482d36211a; phase6xg
6AG-011,CMDQ/ION artifact boundary,Existing source rows cover CMDQ ioctl and ION alloc/custom ioctl capability; this row records no new sink,Image/kernel strings and vendor file_contexts/node metadata exist in prior rows; no final DT/object/module join,ION libion/libion_mtk markers are library capability only; no top-level process consumer; CMDQ no exact ELF ioctl caller,Policy allow/node metadata do not establish effective ordinary-app access or domain path,Potential DMA/display/memory-resource effect remains source/artifact-only; no package/HOME/root effect,UNKNOWN,DEDUP_ARTIFACT_CALLER_GAP; phase6so/6wi/6xg
