id,entry,caller,gate,binder_identity,user_scope,sink,effect,status,evidence,evidence_sha256,missing_edge
10A-PM-001,setAmazonFlagsForUser,"production APK/native caller NOT_FOUND; generated IAmazonPackageManager Proxy/Stub excluded","amazon.permission.ADD_RM_PKG_METADATA; declared signature|amazon; service publication is not authorization","No clearCallingIdentity/restoreCallingIdentity in method slice; checkCallingOrSelfPermission is used","caller supplies userId; User 0 not established","AmazonApplicationFlags.setAmazonFlagsForUser -> writeToFile","persists Amazon application flags/metadata state; no HOME resolver edge","STATIC_SINK_CONFIRMED_CALLER_UNKNOWN","fosservices/disassembly.log:95991-96008; phase6mu consumer-call-sites.csv:95531-95546; phase6mx caller inventory","ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;0b86f79ce8ae336ed5de9f50ecf80d2bce2f01e3c11c121299aea2a46e111ebb;884b8636fd1baff3c1790cb4398e9cb83588dd68260643a4c660876c5269af82","Exact production caller package/UID/signing identity; exact service-manager and SELinux allow tuple; runtime caller-to-userId provenance"
10A-PM-002,setAmazonMetadataForUser,"production APK/native caller NOT_FOUND; generated IAmazonPackageManager Proxy/Stub excluded","amazon.permission.ADD_RM_PKG_METADATA; declared signature|amazon; service publication is not authorization","No clearCallingIdentity/restoreCallingIdentity in method slice; checkCallingOrSelfPermission is used","caller supplies userId; User 0 not established","AmazonApplicationFlags.setAmazonMetadataForUser -> writeToFile","persists per-package Amazon metadata; consumer scan finds flags/metadata consumers but no HOME selector","STATIC_SINK_CONFIRMED_CALLER_UNKNOWN","fosservices/disassembly.log:96009-96026; phase6mu consumer-call-sites.csv:95548-95554; phase6mu consumer closure","ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;0b86f79ce8ae336ed5de9f50ecf80d2bce2f01e3c11c121299aea2a46e111ebb","Exact requester package/UID and grant/privapp join; exact service-manager/SELinux gate; whether any consumer changes HOME/package state"
10A-PM-003,setComponentEnabledSetting via enableKftLauncherComponent,"AmazonUserManagerService.BinderService.enableKftLauncher(UserInfo); external APK caller to AmazonUserManagerImpl.createChildUser is NOT_FOUND; framework candidate packages only","KFT/TV/existence gates; outer private service visibility; tx3 method-local MANAGE_USERS edge not proven","Binder identity remains relevant before PMS setters; later enableKftLauncher path has clear/restore around DPM/profile-owner work","UserInfo.id supplied; child/profile user; no constant User 0","AmazonPackageManager.setComponentEnabledSetting(com.amazon.tahoe/.launcher.FreeTimeLauncherActivity,1,1,userId)","enables Tahoe FreeTime launcher component for supplied child user","KNOWN_CHILD_SCOPED_WRITER_EXTERNAL_CALLER_UNKNOWN","fosservices/disassembly.log:54297-54325,54371-54414; phase9b KFT closure; phase6ay method matrix","ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;ed81a8c3d285c34531307ea16aac0093167890d59c8a93920d6f3d41194fc029;807fb78567609b170833b8855b350b2d996bd56a78683d9b919cb879cf921484","Exact external APK/native callsite; tx3 authorization join; service-manager/SELinux client rule; proof of User 0 input"
10A-PM-004,setApplicationEnabledSetting via enableKftLauncherComponent,"AmazonUserManagerService.BinderService.enableKftLauncher(UserInfo); external APK caller NOT_FOUND","KFT/TV/existence gates; private service visibility; PMS protected-package gate applies downstream","No identity clear before the three package-state setters in the inspected helper; later DPM branch clears/restores","UserInfo.id supplied; child/profile user; no constant User 0","AmazonPackageManager.setApplicationEnabledSetting(com.amazon.firelauncher,2,0,userId) and com.android.launcher3","disables Fire Launcher and Launcher3 for supplied KFT child user; not a general HOME replacement","KNOWN_CHILD_SCOPED_WRITER_PROTECTED_DOWNSTREAM","fosservices/disassembly.log:54314-54325; phase6mh writer ledger; phase6fz User-0 closure","ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;39ce24194ecead7109894d6bae3cfcf631118c9181ec446dc70a6dd3354f231a;a1b93d1d061b5a9df5a9799e8190b8f2d2271ae2b4ddda5e64ad590aab2b9e25","Exact external caller package/UID; child-user creation-to-tx3 edge; whether PMS accepts target for User 0; protected-package policy tuple"
10A-PM-005,EnableDisableComponentAction.enableDisableComponent,"AmazonProductPolicyService local/in-process trusted system service; external trigger package/UID UNKNOWN","policy-file/user-list driven; trusted system-service path; no public AmazonPackageManager endpoint","No Binder caller in local callback; system_server/service identity inferred only from static class placement","explicit user list parameter; User 0 only if policy input names it","AmazonPackageManager.setComponentEnabledSetting or setApplicationEnabledSetting","enables/disables policy-selected package/component; ledger has no fixed Fire/HOME target","STATIC_TRUSTED_LOCAL_WRITER_NO_USER0_HOME_EDGE","fosservices/disassembly.log:293701-293755; phase6mh writer ledger; phase6ep reachability","ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;39ce24194ecead7109894d6bae3cfcf631118c9181ec446dc70a6dd3354f231a;","Exact policy resource, trigger caller, UID/domain, and User-0 target provenance"
10A-PM-006,AmazonPackageManagerImpl.addPreferredActivity,"framework manager API caller NOT_FOUND in bounded production corpus; static API wrapper only","PMS addPreferredActivity enforces cross-user permission and SET_PREFERRED_APPLICATIONS (or legacy targetSdk exception)","PMS reads Binder.getCallingUid; no identity normalization established for external wrapper","explicit userId in PMS; User 0 possible only with authorized caller and supplied id","PMS addPreferredActivityInternal -> preferred activity record","writes preferred activity state; not itself proof of HOME selection or Fire replacement","STATIC_API_AND_PMS_GATE_CALLER_UNKNOWN","boot-fosframework/disassembly.log:367356; PMS Java:12916-12962; phase6mw sink inventory","fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71;f0efc633c75524540dd8a5703e5db528bb81ed80c9c49ad34e5cdf4d2078b074;84544d534c0c5addf6d10ff3d5cef6f8ec2a4a725da50ee1d18609fccfba0953","Exact APK/native caller; service-manager/SELinux path; candidate component and actual User-0 effect"
10A-PM-007,AmazonPackageManagerImpl.replacePreferredActivity,"framework manager API caller NOT_FOUND in bounded production corpus; Settings DefaultHomePicker is a separate static caller","PMS enforces cross-user permission and SET_PREFERRED_APPLICATIONS; HOME filter/component validation remains in PMS","PMS uses Binder.getCallingUid; no clear/restore edge in inspected gate","explicit userId; User 0 possible only through authorized AsUser route","PMS replacePreferredActivity -> preferred activity record","can replace preferred record when authorized, but Fire priority-50 resolver evidence shows ordinary preferred record did not win","STATIC_HOME_WRITER_GATE_CONFIRMED_CALLER_NOT_CLOSED","PMS Java:12987-13062,13705-13706; Settings DefaultHomePicker.java:69-90; phase1 HOME evidence summarized in phase9/earlier reports","f0efc633c75524540dd8a5703e5db528bb81ed80c9c49ad34e5cdf4d2078b074;56e7319492ee910d53c89f1d9c09eb18bdc7cc304106c403ee2e1049ebe2b9a7;6bd54597763b4dc880cb0fa7539a29a78b840a610eab1a9ea7ae414181f9d17b","Exact Settings/runtime UID and exported reachability; exact User-0 authorization; protected Fire/HOME resolver gate"
10A-PM-008,PackageManagerShellCommand.runSetEnabledSetting,"shell UID 2000 via standard pm/cmd package path","standard shell command reaches PMS, then protected-package/PMS gate; existing saved attempts against Fire Launcher returned SecurityException and unchanged User 0 state","Binder identity is shell UID 2000 at PMS entry","--user selects scope; tested existing evidence targets User 0","PMS setApplicationEnabledSetting/setComponentEnabledSetting","ordinary shell cannot disable protected Fire Launcher in saved evidence; no Amazon private-service reachability","ORDINARY_SHELL_USER0_CHAIN_REJECTED_BY_PMS","services/disassembly.log:500744-500765; phase6mh writer ledger; phase6fz User-0 closure; saved phase1 package tests","373a51150fcb079da026b20e71d44380bc3d86e52be88c63ebd39cfd58a6ba53;a1b93d1d061b5a9df5a9799e8190b8f2d2271ae2b4ddda5e64ad590aab2b9e25","Exact SELinux/service-manager tuple for private Amazon service; whether any non-protected package target creates HOME effect"
10A-PM-009,ordinary app -> AmazonPackageManager Binder service,"ordinary app package/UID NOT_FOUND as a successful caller; Phase6IP test app only exercised proxy receiver and was blocked","private service_manager/SELinux gate is unresolved per-client; metadata mutators additionally require signature|amazon; tx6 requires FLAG_SYSTEM PendingIntent creator","No successful Binder identity path; tx6/tx7 identity gates use creator UID/Binder.getCallingUid","User scope UNKNOWN; no evidence of User-0 writer",UNKNOWN,"No package/HOME sink reached from bounded ordinary-app corpus","NO_REACHABLE_ORDINARY_APP_USER0_HOME_CHAIN_FOUND","phase6mx caller inventory; phase9c residual IPC; phase6ip/phase6bd service boundary evidence","884b8636fd1baff3c1790cb4398e9cb83588dd68260643a4c660876c5269af82;UNKNOWN;UNKNOWN","Exact ordinary-app package/UID to service_manager allow; successful transaction and downstream PMS gate"
10A-PM-010,preferred/home consumer closure,"Fire Launcher is standard HOME candidate; Settings picker is static caller; exact runtime external caller for selected HOME state UNKNOWN","resolver ranking and PMS preferred-activity gates; Fire protected-package policy is separate downstream gate","HOME launch path can be system_server or shell depending entry; no identity relay to Amazon PM established","existing saved User 0 HOME resolution; alternate users UNKNOWN","PackageManager resolver -> com.amazon.firelauncher/.Launcher","saved unlocked HOME path resolves Fire priority 50; normal preferred record did not outrank it","HOME_EFFECT_CONFIRMED_FIRE_RESOLVER_NOT_AMAZON_PM_BYPASS","phase1 rendered report HOME resolver and package tests; phase6fz closure; phase9 control-surface index","UNKNOWN;a1b93d1d061b5a9df5a9799e8190b8f2d2271ae2b4ddda5e64ad590aab2b9e25;6bd54597763b4dc880cb0fa7539a29a78b840a610eab1a9ea7ae414181f9d17b","Exact current-build resolver internal selection path and all alternate-user behavior"
