evidence_id,route,caller,permission_or_gate,identity_boundary,sink,observed_result,confidence,disposition
PS-VEND-01,com.android.vending package-state writers,Play Store UID 10180; actual invoking component unknown,CHANGE_COMPONENT_ENABLED_STATE granted; PMS protected-package gate remains,No identity relay to Fire target proven,generic application/component setter callsites; no HOME writer in bounded scan,No Fire/HOME mutation invoked,Strong evidence,Static capability only
PS-VEND-02,com.android.vending grant provenance,Play Store /data/app package,signature|privileged rows granted; no direct privapp XML block,Grant source and history unknown,Permission holder metadata,No grant/revoke performed,Unknown,Host provenance only
PS-BINDER-A1,IAmazonActivityManager tx1,Ordinary APK UID 10198 reached service,APP_PREWARM check result not consumed in saved path,clearCallingIdentity before process start,startProcessLocked prewarm,Target process observed in prior evidence,Confirmed bounded deputy,No package/HOME/root sink
PS-BINDER-U4,IAmazonUserManager tx4,Ordinary APK UID 10223 reached service,No effective method-local authorization in bounded path,clearCallingIdentity before settings write,Settings.Secure setup flags,Write and rollback observed,Confirmed bounded deputy,Fixed settings sink only
PS-BINDER-U3,KFT tx3,Ordinary tx3 reached service in prior tests,PMS cross-user/component gates,No relevant clear identity before PMS setter,Fire/Tahoe/Launcher3 per-user state setters,User10 and User0 mutations rejected,Strong static; runtime mutation disproved,Do not rerun without changed precondition
PS-BINDER-D1,Amazon DPM restriction,Trusted policy/admin caller not ordinary proven,Device policy boundary,clearCallingIdentity around setUserRestriction,User restriction state only,No HOME/package sink observed,Strong evidence,Trusted path only
PS-BINDER-O1,BootAfterSystemOTA/OOBE,SystemServer lifecycle sender,signature|amazon receiver plus boot-phase/upgrade gates,Trusted lifecycle context,OobeHome enable and setup settings,Manual replay not performed,Strong evidence,Risk-rejected lifecycle
PS-DRIVER-K1,CMDQ/ION/GED/MTK nodes,No untrusted write caller proven,Unix mode/init/SELinux/Kconfig gates,Driver fops/user-copy/DMA/telemetry candidates,GED query only,Strong evidence,No write/ioctl test
PS-OTA-O1,Native updater/recovery,No shell/ordinary caller proven,signature/recovery/AVB boundary,Partition/block-image write,No updater/recovery executed,Strong evidence,Capability only; execution rejected
PS-INIT-I1,/init policy loader,Boot-chain authority only,verified boot/cmdline/policy boundary,Policy variant selection,No mutation or permissive transition,Strong evidence,Host-only analysis
PS-KERNEL-GHOSTLOCK,GhostLock futex/rtmutex,No runtime mismatch/residue caller evidence,Kernel scheduler/futex path,Potential memory effect unobserved,No race or DoS test,Unknown,No exploit test
