id,entry,caller,gate,binder_identity,user_scope,sink,effect,status,evidence,evidence_sha256,missing_edge
10D2-001,"/dev/mtk_cmdq; /proc/mtk_cmdq_debug/*; CMDQ_IOCTL_ASYNC_EXEC/WAIT/READBACK","UNKNOWN: no exact shipped native ELF open()+CMDQ ioctl callsite; graphics/media/surfaceflinger/mediaserver policy references are not caller proof","CONFIG_MTK_CMDQ=y; CONFIG_MTK_CMDQ_TAB=y; source OF match mediatek,gce; final Image/object/DTB join incomplete","UNKNOWN: no Binder transaction or clearCallingIdentity chain reaches the node","UNKNOWN: no shipped UID/domain; policy references appdomain/graphics/media/surfaceflinger/mediaserver only","cmdq ioctl -> async task/engine notification/readback -> MDP register/display/DMA path","Potential display/engine/resource control; no package/PMS/HOME sink proven","UNKNOWN","Phase8D-001; Phase7C-001; init.mt8183.rc:302-303 and mtk_cmdq_device provenance","b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899;6cb000e68c9391a2b954966944a41facb31d9c6fed8372c07b8fb4ce07441111;8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0","compiled DTB/DT registration; final Image/module object; merged file_contexts+TE allow; native caller UID/domain and input-to-node edge"
10D2-002,"/dev/ion; alloc/free/map/share/import/sync/custom ioctl","UNKNOWN: libion.so/libion_mtk.so markers identify capability, not a shipped process or callsite","CONFIG_ION=y; CONFIG_MTK_ION=y; CONFIG_ION_TEST absent; final heap/object/DT instance UNKNOWN","UNKNOWN: no Binder caller-to-native ioctl chain or identity transition retained","UNKNOWN: saved metadata says system:graphics 0666, but shipped opener UID/domain is unresolved","ION allocation/import/share/map/sync -> DMA buffer and heap state; MTK custom physical/secure paths","Potential buffer/DMA or physical-address/secure-memory effect; no package/PMS/HOME sink proven","UNKNOWN","Phase8D-002/003; Phase7C-003/004; saved ion_device metadata and vendor_file_contexts","abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63;eb7fbf99acbc492d99d60c98fc62a67fe7350160c6e91dc033781d5bcd986411;8bb5edcc5b5e1cf0bfb8e45cd14c1e185ac873c4d307e67594c024ccd3b69ad0","exact heap/object and DT/init registration; final node policy+allow; top-level native caller UID/domain; Binder-to-open boundary"
10D2-003,"/proc/m4u; M4U power/MVA/port/monitor/TF controls","UNKNOWN: no exact shipped native proc opener or operation caller","Source proc registration; active /dev/M4U_device misc branch is #if 0; final DT/object join UNKNOWN","UNKNOWN: no Binder identity chain; init policy is not a caller chain","UNKNOWN: init record system:media 0440 does not establish actual domain or proc label","proc control -> DMA/IOMMU mapping, port configuration, power and monitor/TF state","Potential DMA/IOMMU/device-state effect; no package/PMS/HOME sink proven","UNKNOWN","Phase8D-004; Phase7C-002; init.mt8183.rc:295-296; source proc mode 0","6351de00903a282ba682427095a155794efd8221f253ff11a0f74ed7c5cb86c6;6cb000e68c9391a2b954966944a41facb31d9c6fed8372c07b8fb4ce07441111;db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e","compiled DTB/object delivery; exact proc genfscon+allow; native caller UID/domain and input boundary"
10D2-004,"/dev/uinput; UI_DEV_CREATE/DESTROY; event write; ioctl/compat_ioctl","UNKNOWN: native inventory found no exact shipped ELF open/write/ioctl caller","CONFIG_INPUT_UINPUT=y; final object/node creation unresolved; no local capable() gate in inspected source","UNKNOWN: no Binder-to-uinput chain or identity-preserving native path","UNKNOWN: node mode/owner/type/SELinux allow and caller UID/domain absent","uinput create/destroy/write -> synthetic input device and kernel input graph","Potential downstream user-facing input-state effect; no package/PMS/HOME sink proven","UNKNOWN","Phase8D-005; Phase7C-008; uinput source and native/SELinux negative inventory","98b41492311d9b9fb9ccbfe269a2fddc0fb436f3048b7887e1f6e5482d36211a;20a47a755613dcfd967624d9821060534e9cda38286a7bb2f8ee777ed9e9a225;9d1313d25cb45492d5656d03f05b7e60f5d037ccef15c20d9edec5e0fdbf17f9","final ueventd mode/owner; file_contexts+allow; shipped object; native caller UID/domain; input boundary"
10D2-005,"/proc/mt-auxadc/dump_auxadc_status; AUXADC calibration device; calibration sysfs attrs","UNKNOWN: no exact shipped native open/ioctl/proc/sysfs writer","CONFIG_MTK_AUXADC_INTF=y; platform registration source present; final DT/object/selected instance UNKNOWN","UNKNOWN: no Binder identity chain or caller transition","UNKNOWN: source writable bits do not establish final label, allow, UID, or domain","ADC/register diagnostic and calibration read/write paths","Potential hardware/diagnostic/calibration state effect; no package/PMS/HOME sink proven","UNKNOWN","Phase8D-006; Phase7C-006; source registration and config/Image markers","5ffbce942417fc6aca773d90e4c6935f508087f9a80d96138a7ecc30561ed327;077a7cff0d60ae2329986382ef91118819045c3540ec76d0d9eeffb2c67230e3","compiled DT/DT registration and final object; exact proc/sysfs/device labels+modes+allow; native writer UID/domain"
10D2-006,"/proc/amzn_drvs/{sign_of_life,idme,logger}; proc_write test_index","UNKNOWN: no production open/write caller; test-only source path","CONFIG_AMZN_DRV_TEST=y not found in trona_defconfig; source Kconfig default n; production delivery conditional","UNKNOWN: no Binder chain; test dispatcher identity not established","UNKNOWN: proc label/init import/TE allow and any caller UID/domain absent","conditional test dispatcher -> factory-reset or RTC special-mode state for selected indices","High-impact factory/engineering effect is source-capable but not shipped-confirmed; no low-privilege route proven","UNKNOWN","Phase7C-010; gpl driver surface inventory; trona_defconfig negative gate","6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e","product config/object/module; proc label+allow; production caller UID/domain; Binder/input boundary"
10D2-007,"Amazon liquid-detection sysfs attrs/module parameters","UNKNOWN: no shipped native sysfs writer or caller","CONFIG_AMAZON_LD=y and CONFIG_AMAZON_LD_SWITCH=y; DT compatible amzn,ld/selected instance UNKNOWN","UNKNOWN: no Binder identity chain or caller transition","UNKNOWN: sysfs owner/group, label, TE allow, UID/domain absent","stop/control/threshold/interval/ADC controls -> liquid detection and device behavior","Potential liquid/thermal/USB behavior change; no package/PMS/HOME sink proven","UNKNOWN","Phase7C-009; Phase6UN Amazon-LD join; source attrs 0664 and platform registration","4ef656e1a4e54bce29c6f54d62478b5b68dd093abe2641b85ee15feb1f30d1bc","matching compiled DTB node; final object; sysfs label+allow; native writer UID/domain"
10D2-008,"/sys/class/thermal/thermal_zone*/{mode,trip_point_*_temp,emul_temp,policy}","UNKNOWN: no shipped thermal writer or native caller","CONFIG_THERMAL=y and CONFIG_THERMAL_WRITABLE_TRIPS=y; final zones/providers/DT UNKNOWN","UNKNOWN: no Binder-to-sysfs chain or identity transition","UNKNOWN: sysfs labels/allow and provider-specific mode absent","thermal trip/emulation/governor writes -> thermal/power/availability state","Potential thermal throttling, power, or availability effect; no package/PMS/HOME sink proven","UNKNOWN","Phase7C-011; thermal_core source/config provenance","3cb614b7c82c9f933e0dd436702b1f7e29d03307b3a1758d860b1b082897caf9","compiled DTB zone/provider; sysfs policy; final native writer UID/domain"
10D2-009,"USB devio ioctl/URB submission/control-transfer entry","UNKNOWN: no preserved USB ioctl/URB caller","CONFIG_USB=y plus selected controller drivers; final USB node/policy not joined","UNKNOWN: no Binder/native caller chain or identity transition","UNKNOWN: usbfs node label/allow and caller UID/domain absent","USB control transfer/URB -> peripheral and hardware state","Potential USB peripheral/control-transfer effect; no package/PMS/HOME sink proven","UNKNOWN","Phase7C-013; USB devio source/config provenance","655a3f79b2230031e0f2dfef4fbb699d832db9054debf47fd5186acec0af2768","final usbfs node mode/owner; file_contexts+allow; controller DT/object; native caller UID/domain"
10D2-010,"RPMB char device unlocked_ioctl","UNKNOWN: rpmb_svc/name markers do not identify exact shipped open+ioctl caller","RPMB/MMC registration/config correspondence only; final object/module promotion UNKNOWN","UNKNOWN: no Binder identity chain or clearCallingIdentity boundary","UNKNOWN: node mode/file_contexts/allow/capable tuple and caller UID/domain absent","authenticated persistent-storage ioctl/state -> RPMB mutation or authenticated read","Potential authenticated storage mutation; low-privilege reachability and package/HOME effect unproven","UNKNOWN","Phase7C-014; rpmb-mtk source/config provenance","a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5","final object; node mode/label+allow; capability gate; native/Binder caller UID/domain"
