id,route,entry,caller,gate,binder_identity,user_scope,sink,effect,status,evidence,evidence_sha256,missing_edge
P7B-001,AmazonActivityManager/prewarm,IAmazonActivityManager.preWarmApplicationForUser -> BinderService,caller not recovered; known caller is privileged Alexa-side code,APP_PREWARM check; result consumption unresolved,clearCallingIdentity before package/process work; original UID not shown at sink,explicit package plus integer user; User-0/User-10 validation unknown,IPackageManager.getApplicationInfo -> PreWarmCacheHelper -> startProcessLocked reason prewarm,static process/resource deputy; no HOME/PMS writer or saved dispatch,unknown,decompiled fosservices 40453-40534; boot-fosframework 394721-395074; phase6up prewarm CSV,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,caller UID plus permission grant plus target-user validation plus observed process effect
P7B-002,AmazonActivityManager/publication,amazonactivitymanager_fosinit vendor-service and manager fetcher,system_server fosinit loader / ActivityManager manager fetcher,service publication plus SELinux service label; method gate not recovered,system_server service context; external caller identity not observed,service-global; prewarm carries explicit user only,AmazonActivityManagerService BinderService / AmazonActivityManagerImpl,registration real; saved shell lookup/transaction did not establish dispatch; no HOME/package-state effect,duplicate,amazonactivitymanager_fosinit 8-23; service-context-matrix row 38; phase6up prewarm CSV,5d212c94f047aee7abc85ef6dc99aa92ca61e3e3d9318bb69db3c10d9e0da411;5063f3de53710d009f2f80c68d5194d471c248f8564aaa05925faf94149f4aea;ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,service-manager/SELinux reachability to accepted external caller
P7B-003,KFT/user-profile,AmazonUserManagerService Binder tx3 enableKftLauncher UserInfo,createChildUser internal path plus onBootPhase upgrade path; external caller not joined,Stub enforceInterface only; no tx3-specific MANAGE_USERS or checkCallingUid gate visible,transacted caller UID not recovered; writer has no identity clear,UserInfo.id from createUser flags 0x8000; child/profile not proven User-0,PackageManager component/app-state setters for Tahoe Fire Launcher3,accepted external tx3 caller and cross-user admin gate remain unresolved,unknown,boot-fosframework 369180-370443; fosservices 54297-54478; phase6ub and phase6uf CSV,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71;ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,external tx3 caller identity and downstream cross-user authorization
P7B-004,KFT/user-profile,enableKftLauncherComponent UserInfo,AmazonUserManagerService child/upgrade branches,child predicate and lifecycle; no method-local gate in writer,system_server/AmazonUserManager process; no identity transition,UserInfo.id only; no constant User-0 target,Tahoe component enabled plus Fire/Launcher3 app state set for supplied user,real child/profile writer; saved tests preserve User-0 Fire Launcher; no preferred-HOME setter joined,bounded-negative,fosservices 54297-54325 and 55053-55119; phase6ub CSV; phase6x4 report,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,User-0 restoration edge or accepted ordinary caller absent
P7B-005,KFT/User-0 restoration,Fire-specific User-0 preferred-HOME/component restoration candidate,no named production caller joined; historical resolver/package captures only,existing PMS/HOME gates; no Fire-targeted restoration setter recovered,caller and UID unknown,User-0 candidate only; KFT writer is child/profile supplied-user scoped,no exact Fire setHomeActivity or replacePreferredActivity or User-0 writer,Fire Launcher remains saved User-0 HOME; no new mutation,bounded-negative,phase6ub CSV; phase6x reconcile CSV; phase6x4 baseline CSV,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;b6a3ad87a24e4fc185a29dc18c92c4144889ad19e6283ac9a17db762b10a52fc,exact User-0 caller-to-setter edge
P7B-006,DPM/PMS package-state,DPM tx100 -> PMS tx73 owner/admin path,DPM owner/admin/profile scope from saved tests; ordinary app not established,DPM owner/admin plus PMS package-state gates; downstream method check bounded,system/root or trusted owner/admin; no clear identity to ordinary caller,profile/owner target user plus package,PMS package/component state writer tx73,trusted policy behavior bounded; no HOME selection or sustainable ordinary-app route,duplicate,phase6qe caller closure; phase6x4 evidence index 2060-2071; phase6su CSV,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,downstream PMS exact permission and caller-to-owner join
P7B-007,AmazonPackageManager/boot package-state,AmazonPackageManagerService.onBootPhase and protected package callbacks,system_server lifecycle plus PMS upgrade state,boot/upgrade lifecycle and protected callback gates; ordinary broadcast relay not established,system_server identity; no external Binder identity,system/default or callback-derived package scope,package metadata and protected-package/cache callbacks,no Fire HOME writer; no ordinary caller or observed package-state mutation,bounded-negative,amazonpackagemanager_fosinit 8-28; service-context-matrix row 45; fosdebug inventory; phase6x4 evidence index,eb53e50cf72174eddcde25fd3538e4736d2cd4cb7866bab4e5bc2b70fc514286;5063f3de53710d009f2f80c68d5194d471c248f8564aaa05925faf94149f4aea,external API caller and exact package-state sink join
P7B-008,launcher-hijack-preventer,LauncherHijackPreventer ActivityStack and ActivityManagerService callbacks,AMS/ActivityTask in-process dispatcher,Leanback plus seInfo see_home_task or Android signature fallback; no exported component gate,system_server callback identity; caller package/UID is input,activity/task scope; no user mutation argument,canSeeHomeTask and permission decision only,HOME visibility/permission gate; not selector or package-state writer; no Binder relay,bounded-negative,launcherhijackpreventer_fosinit 8-16; fosservices 136857-137040; phase6rt CSV,026a1efce008ef99cc2afa32a9bc8913bf929e74256af67971f426a97c968eea;ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,callback caller provenance and downstream HOME/package writer
P7B-009,SystemUI/keyguard AIDL,IAmazonKeyguardService.dismissWithPendingIntent,external Binder caller not recovered; service context unmapped,CONTROL_KEYGUARD or Amazon keyguard permission via checkUidPermission,Binder.getCallingUid retained; verified package forwarded; no clearCallingIdentity,no explicit user; PendingIntent/SystemUI target scope,IAmazonKeyguardServiceSystemUI.dismissWithPendingIntent,keyguard dismissal/PendingIntent handoff only; no runtime success or HOME/package mutation,duplicate,fosservices 168487-168535; boot-fosframework 391141-391186; phase6x IPC CSV,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71;5063f3de53710d009f2f80c68d5194d471c248f8564aaa05925faf94149f4aea,service publication plus accepted caller runtime edge
P7B-010,SystemUI/keyguard AIDL,IAmazonKeyguardService.setAccessibilityInfo and setForegroundColor,external Binder caller not recovered,CONTROL_KEYGUARD or Amazon keyguard permission,calling UID/package retained and forwarded; no clear identity,user not explicit; global SystemUI presentation scope,IAmazonKeyguardServiceSystemUI accessibility and foreground state,keyguard presentation only; no HOME/package writer or runtime acceptance,duplicate,fosservices 168690-168795; boot-fosframework 391292-391349; phase6x IPC CSV,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c;fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,transaction code plus service publication plus caller reachability
