evidence_id,artifact_or_hash,source_symbol_anchor,caller,gate_or_identity,sink_or_effect,status,remaining_unknown
6UO-01,"OTA container sha256=9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5",firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin:metadata/member inventory,none host inventory,"PS7331.4463 / Fire OS 7.3.3.1; product trona; BLOCK; release-keys/release",package identity,VERIFIED,"Exact package provenance is local-only; no execution"
6UO-02,"updater-script sha256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248",firmware/extracted/PS7331/META-INF/com/google/android/updater-script:1-2,Recovery/updater context implied by package,"build timestamp anti-newer-build check; ro.product.device == trona",abort gate before update,VERIFIED,"Runtime evaluation not performed"
6UO-03,"updater-script sha256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248",updater-script:6-10,Edify dispatch into recovery updater,"fixed system/vendor block-image commands",system/vendor block devices,VERIFIED,"Static script-to-handler runtime dataflow not executed"
6UO-04,"updater-script sha256=4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248",updater-script:13-24,Edify dispatch into recovery updater,"fixed boot-chain/firmware members; target.blocklist",boot/preloader/LK/TEE/SPMFW/SSPM/camera and /cache/recovery/last_blocklist,VERIFIED,"Expected full-OTA sink; no partition mutation"
6UO-05,"otacert sha256=5d52405362dcc9e755a4d972074ac7f886a5450e18fb6a6c2c2dad2b55730fe1",firmware/extracted/PS7331/META-INF/com/android/otacert:member,OTA package verifier context,certificate member present,certificate input to verification,VERIFIED-PRESENCE,"Accepted key/cryptographic replay not established"
6UO-06,"metadata sha256=9501caa9c986904bda3fe0f5e0f21134f968edaf30a4949779357d2aeb66bbf2",firmware/extracted/PS7331/META-INF/com/android/metadata:member,DeviceSoftwareOTA verifier,"post-build/incremental/timestamp/product/signature metadata",OTA admission decision,VERIFIED-CONTRACT,"Arbitrary package was not verified"
6UO-07,"Java OTA corpus; SideloadMetadataChecker APK sha256=35b2cd7ab72549277b691e603039a155d26a9a850c753f80c7cda968053c88ce","OSUpdateValidator.java:73-78; RecoverySystemWrapper.java:21-23; SideloadVerifier.java:31-48,55-59",DeviceSoftwareOTA privileged controller,"hash, metadata/sanity, product/device/PVT and RecoverySystem.verifyPackage",verified-package handoff,VERIFIED-EDGE,"Platform recovery verifier and native caller identity missing"
6UO-08,"Java OTA corpus","SideloadInstaller.java:65-84,87-95; SideloadMover.java:31-44",DeviceSoftwareOTA install context,"integrity/recovery-check path; basename staging to OTA external-data directory",FileHelper.moveFile then install staging,VERIFIED-EDGE,"canonicalPath/NOFOLLOW/race/native flags unknown; no traversal test"
6UO-09,"Java OTA corpus",UpdateSystemWrapper.java:33-44,DeviceSoftwareOTA privileged context,"path remap and OTA state handling before API call",UpdateSystem.install API boundary,VERIFIED-EDGE,"Recovery handoff after API boundary missing"
6UO-10,"update-binary sha256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b",update-binary:main 0x400cac/0x400cb0; RegisterInstallFunctions 0x406978; RegisterFunction 0x41d528,recovery/updater context only,"Edify callback registry; indirect command dispatch",package_extract_file/block_image_update/write_value/run_program and related handlers,CAPABILITY-VERIFIED,"ELF not executed; no shell/ordinary-app caller"
6UO-11,"update-binary sha256=02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b",PackageExtractFileFn 0x401fb8 -> ota_open 0x426338; ota_write 0x426d58,registered native handler,"package extraction and file I/O path",open/write/fsync/close/extracted file,CAPABILITY-VERIFIED,"Archive path policy and runtime arguments unknown"
6UO-12,"update-binary plus phase6MM/phase6MD derived call-edge tables",block_image_update -> BlockImageUpdateFn -> PerformBlockImageUpdate; VerifyBlocks; WriteToPartition 0x413c40/0x413dcc-0x4142f0,recovery/updater context only,"block verification markers and fixed script targets",open/chown/rename; ota_open -> ota_write -> libc write, CAPABILITY-VERIFIED,"Indirect CFG, runtime target and caller identity unknown"
6UO-13,"phase6NE direct-call-edges.csv sha256=d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477","MakeFreeSpaceOnCache 0x417778-0x417fc4 -> __readlink_chk 0x4ce4e8; CacheSizeCheck",PerformBlockImageUpdate,"cache-size/free-space helper control",stat/unlink/readlink-family cache handling,BOUNDED-UNKNOWN,"No direct selected canonicalization-to-write edge; no symlink/malformed test"
6UO-14,"missing local paths","firmware/extracted/PS7331/vbmeta.img; firmware/extracted/PS7331/META-INF/com/android/avb*",recovery/verified-boot context,AVB descriptors and rollback-index inputs absent,AVB/rollback enforcement,MISSING,"Exact local AVB artifact and implementation cannot be traced"
6UO-15,"missing local path",platform recovery verifier implementation; UpdateSystem.install native continuation,UpdateSystem.install caller identity unknown,"certificate-chain, recovery acceptance, execution flags/SELinux context",native recovery -> update-binary handoff,UNKNOWN,"Only Java API boundary and native updater capability are present"
6UO-16,"fosinit sha256=derived artifact hash 37012a90b7822304a080c736f12684fdf5d58a2bc6ca92e80536d37c3a882f58",artifacts/phase6jd-fosinit-20260808-01/system/fireos/etc/init/fireossystemota_fosinit.xml:6-12,init/system-server wiring,"VendorRecoverySystemCallback registration",FireOSSystemOTACallback registration,VERIFIED-CONFIG,"Callback body, SELinux allow rules and final recovery exec absent"
6UO-17,"system-server derived call-edges; input sha256=1136d4815ae63011522fead17ef743bc0daa57334ae6ebb3b4c05c1d09507c52",AmazonPackageManagerService.onBootPhase phase 550; PMS.isUpgrade(); BootAfterSystemOTAReceiver,system_server only,"protected BOOT_AFTER_SYSTEM_OTA plus OOBE/demo/preferences predicates",enable OobeHomeActivity; write user_setup_complete=0/isOOBEActive=1,VERIFIED-LIFECYCLE,"Exact numeric user and arbitrary caller authorization unknown"
6UO-18,"saved host-only audit boundary",artifacts/phase6i summary and prior phase reports: device_contacted=false; updater_executed=false; recovery_executed=false; partition_written=false,none,"safety exclusions",no runtime or mutation effect,REJECTED-BY-SCOPE,"Do not execute updater/recovery or construct malformed/symlink input"
