evidence_id,phase,surface,source,caller,gate,identity_scope,sink,observed_effect,confidence,evidence_file,evidence_sha256,status,scope
WG-001,6WL,6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,external dumpsys caller subject to DUMP; exact UID UNKNOWN,android.permission.DUMP checked in dump; service-manager/SELinux rule UNKNOWN,device/default settings user (explicit user overload absent),FireOsDisplayPowerControllerService$BinderService,,static direct,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,previous public Phase 6X2 corpus
WG-002,6WL,6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,system_server input-monitor caller/publisher; external Binder caller not recovered,system_server/internal callback; permission and SELinux/service-manager gate UNKNOWN,system/default secure-settings scope (non-user overload),InputFilterMonitorInputManagerServiceCallback,,static direct,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,previous public Phase 6X2 corpus
WG-003,6WL,6WG Framework IPC residual,work/luna_worker_phase6wg_ipc_residual_20260810.csv,remote Binder caller with MODE_SWITCH; exact UID UNKNOWN,com.amazon.alexa.permission.MODE_SWITCH enforced by checkCallingOrSelfPermission; service-manager/SELinux rule UNKNOWN,USER_CURRENT/-2 passed to putIntForUser,AlexaModeSwitchManagerService$AlexaModeSwitchAPIImpl,,static direct,,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,,previous public Phase 6X2 corpus
6WL-ROW-004,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,"artifacts/phase6mk-updater-dispatch-20260810-04/registration-dispatch.csv:7,16,19-22; updater-script-entrypoints.csv:2-13; addresses 0x406b8c,0x406e0c,0x406ee4,0x406f2c,0x406f6c,0x406fac",d88e35ec08d9ef0a55a3dbc17dc430b62d3b419810653542b6dd3077095cca24;4d0128ee85eec7b0c88716012858bef699f740907e46e854939c83a6c9e99077,,previous public Phase 6X2 corpus
6WL-ROW-005,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,"artifacts/phase6ne-updater-cache-flow-20260810-03/direct-call-edges.csv:1-5,42-43; addresses 0x417bf0,0x417ea8,0x417eb0,0x409cb4,0x409cdc",d653e4a84898509781a333c56502087a83981781fcf6612d7026bfd79602b477,,previous public Phase 6X2 corpus
6WL-ROW-006,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,"artifacts/phase6my-bootafter-ota-package-helper-20260810-01/call-edges.csv:6MY-E03-E04,E08,E10",1136d4815ae63011522fead17ef743bc0daa57334ae6ebb3b4c05c1d09507c52,,previous public Phase 6X2 corpus
6WL-ROW-007,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,"artifacts/phase6j/phase6j-ota-controller-holders-20260805-01/controller-permission-context.txt:10537-10541,27271-27275",d68768263846c87ffc6b1b1d100b5b5bcd34212d5605c4e3eb1085da8c67d1e0,,previous public Phase 6X2 corpus
6WL-ROW-008,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,artifacts/phase6j/phase6j-ota-apk-jadx-ps7331-20260805-01/sources/com/amazon/dcp/ota/SideloadMover.java:31-44; FileHelper.java:305-339,59131cf032d8544cd44ea839ad63eb37993d2853b4925bf56d10ede721693f63;55a7f44a70735626be7ebde25e96812346f336fddbec2c87ca0fb709b980,,previous public Phase 6X2 corpus
6WL-ROW-009,6WL,6WH OTA residual,work/luna_worker_phase6wh_ota_residual_20260810.csv,,,,,NONE,UNKNOWN,firmware/extracted/PS7331/vbmeta.img absent; firmware/extracted/PS7331/META-INF/com/android/avb* absent; UpdateSystemWrapper.java:33-44,c99f6884fa298546b18722a5addb46ae35aff4c9f6003d8ad3ccaebe2edfdbd9,,previous public Phase 6X2 corpus
WI-01,6WL,6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,,,policy names device type only; no exact caller identity or framework/HOME/package sink,,UNKNOWN,UNKNOWN,,cmdq_driver.c=b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; Image=10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e,,previous public Phase 6X2 corpus
WI-02,6WL,6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,,,ION library labels are same_process_hal_file; no exact identity and no package/HOME/settings sink,,UNKNOWN,UNKNOWN,,ion.c=abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e; native-inventory.csv=9d1313d25cb45492d5656d03f05b7e60f5d037ccef15c20d9edec5e0fdbf17f9,,previous public Phase 6X2 corpus
WI-03,6WL,6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,,,no userland identity or sensitive sink identified,,UNKNOWN,UNKNOWN,,boot.img=cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b; Image=10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d; native-inventory.csv=9d1313d25cb45492d5656d03f05b7e60f5d037ccef15c20d9edec5e0fdbf17f9,,previous public Phase 6X2 corpus
WI-04,6WL,6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,,,HAL service identity is privileged-domain context only; no exact package/HOME/PMS sink,,UNKNOWN,UNKNOWN,,amzn_idme.c=ab6484ae7a694412ec4eeabb67133ddd0c0af221076b6d989c8ab1fe7c84e61e; kernel.config=eefb8db484f65e196a7bb401ae0165f434f08b13041aef6762917e284d013d04; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e,,previous public Phase 6X2 corpus
WI-05,6WL,6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,,,diagnostic HAL/domain name is not a proc caller and no package/HOME/privilege sink is joined,,UNKNOWN,UNKNOWN,,amzn_drv_test.c=6c2309f996cacafaab35cce3935bcb725a5259211751af89df88d3732797029e; libmt8183_diag.so=7147e161de7b3a8097bdf6079d0b414c147067d46e1f446138d041a63dd127d7; vendor_sepolicy.cil=82430bdb87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,,previous public Phase 6X2 corpus
WI-06,6WL,6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,,,rpmb_svc identity is a service observation; no package/HOME sink,,UNKNOWN,UNKNOWN,,vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e; vendor_sepolicy.cil=82430bdb87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,,previous public Phase 6X2 corpus
WI-07,6WL,6WI native driver caller,work/luna_worker_phase6wi_driver_caller_20260810.csv,,,HAL/service identity only; no package/HOME/settings sink,,UNKNOWN,UNKNOWN,,phase6me input-manifest=ada254be9c56572282704924eea66e2852889ec73c0a65be4558f36f77d8250a; native-inventory.csv=9d1313d25cb45492d5656d03f05b7e60f5d037ccef15c20d9edec5e0fdbf17f9; vendor_file_contexts=db5cd91b8d25170ad27809ace8cdbbd2a3f838ec72e2598a4f6b5a44953d322e,,previous public Phase 6X2 corpus
WJ-01,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,Saved resolver evidence remains Fire Launcher; static HOME setters/sinks do not establish ordinary caller reachability or a sustainable replacement.,UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-02,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,"Package-state writers exist in framework/Amazon code, but saved gates rejected ordinary mutation and no writer is shown to reach User-0 HOME sustainably.",UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-03,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,Child/profile lifecycle and KFT component changes are real only for the target child/profile; final guards preserve User-0 Fire Launcher.,UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-04,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,DPM tests show bounded owner/admin behavior but no ordinary sustainable HOME/package-state route; static DPM sinks remain gated and caller identity is incomplete.,UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-05,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,Resource/default-home and overlay evidence does not prove runtime selection; no settings mutation or durable HOME change is established.,UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-06,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,Service visibility/candidate interfaces and static sinks do not establish a callable transaction or accepted identity; H2 holder/grant/requester remains incomplete.,UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-07,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,"Exact OTA and native updater paths contain partition/cache writers statically, but no updater, recovery, OTA, reboot, or partition effect was observed.",UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-08,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,"Driver and native control edges are host-side static/conditional evidence only; retail node access, process/domain load, and effect are not established.",UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-09,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,Source/config/probe logs do not close a retail privilege transition or sensitive sink; no approved device mutation is present.,UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WJ-10,6WL,6WJ test reconciliation,work/luna_worker_phase6wj_test_reconciliation_20260810.csv,,,,,Tahoe/KFT/Launcher3 and accessibility/ADB foreground paths are either child-scoped or temporary; none is a sustainable User-0 formal HOME replacement.,UNKNOWN,,,INTEGRATED,previous public Phase 6X2 corpus
WK-001,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,DefaultPermissionGrantPolicy,system_server/internal policy path; exact caller gate UNKNOWN,userId argument,DefaultPermissionGrantPolicy,,static direct,,186a710bb9d27f703f2c76bc1e179ac18cebbff022674e9e71f2bf7a50226327,,previous public Phase 6X2 corpus
WK-002,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,UserManagerService Binder implementation,checkManageOrCreateUsersPermission(flags); MANAGE_USERS or CREATE_USERS; system/root accepted,system/default user scope,UserManagerService,,static direct,,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,,previous public Phase 6X2 corpus
WK-003,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,UserManagerService Binder implementation,checkManageOrCreateUsersPermission(flags); MANAGE_USERS or CREATE_USERS; system/root accepted,parent userId plus created profile,UserManagerService,,static direct,,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,,previous public Phase 6X2 corpus
WK-004,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,UserManagerService Binder implementation,"checkManageOrCreateUsersPermission(""Only the system can remove users""); exact downstream checks UNKNOWN",userHandle argument,UserManagerService,,static direct,,a92e54ac19e886b935b547717827ccf018d1caa554b8ecaf8467b6077d7d309e,,previous public Phase 6X2 corpus
WK-005,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,UserController Binder-facing path,INTERACT_ACROSS_USERS_FULL or amazon.aosp.permission.INTERACT_ACROSS_USERS_FULL; Binder calling pid/uid checked; shell restriction also enforced,userId; system user rejected,UserController,,static direct,,3382de2f12fc0f38c757c3fd021c06482db96c19389ec9909218423addd47274,,previous public Phase 6X2 corpus
WK-006,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,ActivityManagerShellCommand,shell command plus canSwitchUsers restriction; exact shell UID enforcement in downstream path UNKNOWN,supplied target user,ActivityManagerShellCommand,,static direct,,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,,previous public Phase 6X2 corpus
WK-007,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,ActivityManagerShellCommand,shell command path; downstream caller and SELinux gate UNKNOWN,supplied target user,ActivityManagerShellCommand,,static direct,,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,,previous public Phase 6X2 corpus
WK-008,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,ActivityManagerShellCommand,shell command path; downstream INTERACT_ACROSS_USERS_FULL gate visible in UserController,supplied target user,ActivityManagerShellCommand,,static direct,,7aafaa0ccc5336df4f8e8cb7bcd38afbd578790c3065f28843a76a1eb36c06cc,,previous public Phase 6X2 corpus
WK-009,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,AppRestrictionsHelper,PackageManager validation; Settings UI/profile-policy caller and SELinux rule UNKNOWN,explicit userId,AppRestrictionsHelper,,static direct,,107ba7f2925439e8bf061b39b9496a5d6cc661c00990d5be9259104f2960486f,,previous public Phase 6X2 corpus
WK-010,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,AppRestrictionsHelper,PackageManager uninstall validation; only restricted-profile branch visible,explicit userId,AppRestrictionsHelper,,static direct,,107ba7f2925439e8bf061b39b9496a5d6cc661c00990d5be9259104f2960486f,,previous public Phase 6X2 corpus
WK-011,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,UserManagerHelper,helper checks no_add_user restriction; service permission gate remains authoritative,current process/default user scope,UserManagerHelper,,static direct,,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,,previous public Phase 6X2 corpus
WK-012,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,UserManagerHelper,helper excludes system/current-user case; service permission gate remains authoritative,userInfo.id,UserManagerHelper,,static direct,,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,,previous public Phase 6X2 corpus
WK-013,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,UserManagerHelper,helper checks current/foreground user only; downstream switch gate and SELinux rule UNKNOWN,target user id,UserManagerHelper,,static direct,,1e15d3461b6d0e34391eba9b628e8ca83a7082590baf33bfec4ad8d00e5209df,,previous public Phase 6X2 corpus
WK-014,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,external callers through exported SettingsProvider,global/secure writes enforce WRITE_SECURE_SETTINGS; system writes use WRITE_SETTINGS or app-op; cross-user gate at 431,calling user and requested setting namespace,SettingsProvider,,static direct,,4efc2aba8f7798fb4e026f13479f5b4929ef545deba5618b35d799555d78678b,,previous public Phase 6X2 corpus
WK-015,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,SettingsProvider,android:exported=true; sharedUserId=android.uid.system; provider write methods enforce permissions,singleUser across users,SettingsProvider,,static manifest,,e4f2d9d47e7fa10be2aa2d26f6549b41184762d7ff5c77c19ffa7fc7560aac70,,previous public Phase 6X2 corpus
WK-016,6WL,6WK broad surface,work/luna_worker_phase6wk_broad_surface_20260810.csv,MediaSessionService,internal service path; exact caller/permission and SELinux rule UNKNOWN,full user id,MediaSessionService,,static direct,,58ce4931e266384bd63147b65748edb53190d68f270b0b324dfa5c646506d5af,,previous public Phase 6X2 corpus
