row_id,scope,registration,caller,gate,identity,input,sink,reachability,classification,evidence,next_safe_step
6RT-001,"SystemUI resource arrays","arrays.xml:3-37; amz_config_systemUIServiceComponents","SystemUIApplication service bootstrap","resource lookup; SystemUI system context","listed Amazon SystemUI service class strings","resource array entries","resource array entries","service construction/lifecycle only; no Fire/HOME writer","static confirmed; no low-privilege edge","decompiled/jadx/ota-PS7331/systemui/resources/res/values/arrays.xml:3-37","Compare exact-build overlays only"
6RT-002,"SystemUI per-user resource array","arrays.xml:344-349; config_systemUIServiceComponentsPerUser","SystemUI per-user service loader","preserved array is empty","no per-user input","no registration","no per-user Fire/Home component sink","static confirmed within resource","NEGATIVE: NO FIRE COMPONENT","decompiled/jadx/ota-PS7331/systemui/resources/res/values/arrays.xml:344-349","Host-only overlay diff"
6RT-003,"SystemUI profile/user callback","AmazonDependency -> AmazonUserSwitcherController","SystemUI profile picker","AMS switchUser permission/cross-user gate","selected UserInfo/userId","profile UI selection","ActivityManager user lifecycle switch; no Fire component/package writer","registration and saved lifecycle path confirmed","EVENT/LIFECYCLE NOTIFICATION","SERVICE_MAP.md:1892-1900; findings/phase-6gr-gui-systemui-profile-switch-boundary.md","Retain read-only snapshots; do not switch users"
6RT-004,"PhoneWindowManager callback","amazonwindowmanager_fosinit.xml:12-15 -> AmazonWindowManagerPwmCallback","PhoneWindowManager callback dispatch","window type/package permission checks","WindowManager.LayoutParams type/flags/packageName","window params","flag adjustment, permission result, PIP_STATE_CHANGE event; no HOME/package writer","in-process system_server callback","WINDOW POLICY / EVENT NOTIFICATION","artifacts/amazon-services/amazonwindowmanager_fosinit.xml:12-15; fosservices/disassembly.log:196540-196700","Static method diff only"
6RT-005,"WindowManager service callback","amazonwindowmanager_fosinit.xml:16-17 -> AmazonVendorWindowManagerServiceCallback","WindowManagerService relayout","normal WMS relayout/policy checks","two WindowManager.LayoutParams","extraSystemUiVisibility bits","window visibility mutation only; no component/package/HOME writer","in-process callback; no ordinary caller edge","WINDOW VISIBILITY MUTATION ONLY","artifacts/amazon-services/amazonwindowmanager_fosinit.xml:16-17; fosservices/disassembly.log:203374-203390","Inspect complete offline class slice only"
6RT-006,"App transition callback","amazonwindowmanager_fosinit.xml:19-20 -> AmazonVendorAppTransitionCallback","WindowManager starting-window lifecycle","system_server transition/render-thread state","AppWindowToken and render-thread TID","starting-window transition","async trace and thread priority; no activity/package writer","in-process lifecycle callback","TRACE/RESOURCE SCHEDULING NOTIFICATION","artifacts/amazon-services/amazonwindowmanager_fosinit.xml:19-20; fosservices/disassembly.log:203322-203373","No trace injection; static compare only"
6RT-007,"ViewRoot callback","amazonwindowmanager_fosinit.xml:22-23 -> AmazonVendorViewRootImplCallback","ViewRootImpl lifecycle","framework callback dispatch","view/window lifecycle args","view/window callback state","no Fire literal or package/HOME sink in saved slice","registration confirmed; concrete sink incomplete","CALLBACK REGISTRATION; SINK NOT FOUND","artifacts/amazon-services/amazonwindowmanager_fosinit.xml:22-23; boot-fosframework/disassembly.log:16832","Obtain complete offline class slice"
6RT-008,"HOME pre-resolution callback","appcompatsupport_fosinit.xml:12-20 -> AppCompat callbacks","ActivityStackSupervisor.resolveIntent -> callback dispatcher","first non-null callback; AppCompat PM resolver; uninstalled filter","HOME Intent/resolution inputs","HOME Intent/resolution inputs","PM-produced ResolveInfo","can preempt fallback only with PM result; no Fire literal/component construction","static confirmed; no direct Fire selector","findings/phase-6al-home-resolve-callbacks.md; findings/phase-6nh-home-callback-completeness.md; artifacts/phase6kw-vendor-home-callbacks/vendor-home-callbacks.csv","Host-only registration compare"
6RT-009,"HOME pre-resolution callback","eve_launch_time_fosinit.xml:13-20 -> EveActivityStackSupervisorCallback","ActivityStackSupervisor callback dispatcher","base null when no resolveIntent override","HOME Intent/resolution input","null ResolveInfo then PM fallback","standard PackageManagerInternal resolver remains sink","static confirmed; falls through","EVENT/LIFECYCLE + NULL RESOLVER CALLBACK","findings/phase-6al-home-resolve-callbacks.md; artifacts/phase6kw-vendor-home-callbacks/vendor-home-callbacks.csv","Retain AOSP resolver comparator"
6RT-010,"Launcher hijack ActivityStack callback","launcherhijackpreventer_fosinit.xml:10-15","ActivityTask/ActivityStack visibility callback","Leanback feature; SELinux see_home_task; Android signature fallback","caller uid/pid-derived package ApplicationInfo/seInfo","visibility/permission query","canSeeHomeTask boolean and permission name; no HOME/package writer","in-process callback; no Binder relay","HOME VISIBILITY GATE / NOT WRITER","artifacts/amazon-services/launcherhijackpreventer_fosinit.xml:9-16; fosservices/disassembly.log:136857-137040","Static SELinux/manifest comparison only"
6RT-011,"Amazon Activity callback","amazonactivitymanager_fosinit.xml:12-22 -> AmazonActivityManagerAMSCallback","AMS updateUsageStatsOnResume(ComponentName)","in-process AMS callback; private service handle","resumed ComponentName/user lifecycle","onActivityResume(ComponentName)","ActivitySwitchHandler/observer notification; no PMS/HOME writer in callback body","registration and local callback confirmed","ACTIVITY EVENT NOTIFICATION","artifacts/amazon-services/amazonactivitymanager_fosinit.xml:12-22; fosservices/disassembly.log:180180-180210; SERVICE_MAP.md:1513-1522","Trace offline observer consumers only"
6RT-012,"Amazon ProfileService AMS callback","LocalServices -> AmazonProfileServiceActivityManagerCallback","AMS activity-start decision and ActivitySwitchObserver","profile-picker state/metadata; remote tx41 downstream INTERACT_ACROSS_USERS","Intent/userId or resumed ComponentName; configured picker target","shouldAbortActivityStart and conditional startActivityAsUser","profile/activity notification or picker Activity; no preferred/package writer","static plus saved lifecycle observation","PROFILE/ACTIVITY EVENT + CONDITIONAL ACTIVITY START","findings/phase-6er-ams-home-callback-boundary.md; findings/phase-6er-amazon-profile-metadata-tx41-boundary.md","Trace consumers; no tx41/activity replay"
6RT-013,"Amazon OOBE callback/receiver","onBootPhase(550) -> protected BOOT_AFTER_SYSTEM_OTA -> BootAfterSystemOTAReceiver","system_server OTA lifecycle sender","PMS.isUpgrade + signature|amazon protected broadcast","trusted receiver Context/OOBE state","OOBE lifecycle event","enable OOBE component and setup settings; no Fire Launcher HOME writer","trusted lifecycle route; ordinary relay not established","OOBE COMPONENT/SETUP WRITER; NO FIRE HOME EDGE","findings/phase-6ff-oobe-backup-lifecycle-boundary.md; artifacts/phase6mg-oobe-helper-scope-20260810-01/helper-scope.csv","Observe only natural official OTA"
6RT-014,"Amazon Profile metadata callback","PACKAGE_ADDED/REPLACED/CHANGED -> readMetaDataFromAppInfo -> service $13","package lifecycle event -> service Handler","target checked as system app; metadata provider authenticity incomplete; tx41 current-user gate","ordinary app metadata package/activity pair","mLaunchDataInfoMap and launch_info_map_key persistence","profile metadata persistence; later explicit picker Activity, not PMS/HOME writer","metadata write confirmed; ordinary tx41 stopped before startActivityAsUser","PERSISTENT PROFILE METADATA / PARTIAL INTEGRITY ISSUE","findings/phase-6er-amazon-profile-metadata-tx41-boundary.md:39-58,112-146; SERVICE_MAP.md:1356-1365","Trace map consumers/source authentication only"
