family,source_id,surface,caller_reachability,gate_or_boundary,sink_or_capability,runtime_result,disposition,confidence,evidence
kernel/GPL,cmdq_dispatch,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c,device registration plus SELinux/file-context join required; no ordinary app proof,kernel.config:1247-1248; CONFIG_MTK_CMDQ=y; CONFIG_MTK_CMDQ_TAB=y,no direct AMS/ATMS/PMS/HOME edge,phase6g result and prior zeroed v2 compatibility result only; no new ioctl,static-only,Strong evidence,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c; source_sha256=b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899
kernel/GPL,cmdq_secure_metadata,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c; drivers/misc/mediatek/cmdq/v3/cmdq_sec.c; drivers/misc/mediatek/cmdq/v3/cmdq_record.c,caller and shipped-binary equivalence unknown,CONFIG_MTK_CMDQ=y,no direct framework sink,source-only candidate; async/DMA/TrustZone deliberately absent,risk-rejected,Strong evidence,drivers/misc/mediatek/cmdq/v3/cmdq_driver.c; drivers/misc/mediatek/cmdq/v3/cmdq_sec.c; drivers/misc/mediatek/cmdq/v3/cmdq_record.c; source_sha256=b3a54d37b4e498ff969a2717cb02cefc923ae6f39da32f5fd8529fe3dce6e899;1d7e2d73bdc5beeede1f2edd46c6c8d7f0418202ecd465f078d345e245d41f3b;780726731c122c159a8ee9cd65200665efcac834e254aef575d6f3f06d5ee4ee
kernel/GPL,ged_proc_query,drivers/misc/mediatek/gpu/ged/src/ged_main.c,proc_ged mode 0644; shell reachability demonstrated; ordinary app not demonstrated,phase6bq existing result,no HOME/PMS/ATMS writer,ADB shell uid 2000 enforcing shell opened read-only /proc/ged and completed 20 queries; no higher-impact bridge invoked,closed,Strong evidence,drivers/misc/mediatek/gpu/ged/src/ged_main.c; source_sha256=95671972e22b12d0f6301c28750ebc28e371e02a75610ff62a94a90953fa30c5
kernel/GPL,ion,drivers/staging/android/ion/ion.c; drivers/staging/android/ion/mtk/ion_drv.c,policy allow is not live reachability; caller/effect unknown,phase6np metadata and extracted policy,no HOME/PMS/ATMS edge, /dev/ion mode 0666 metadata only; no open/ioctl; 307 APK/JAR scan had no direct ION caller,unknown,Unknown,drivers/staging/android/ion/ion.c; drivers/staging/android/ion/mtk/ion_drv.c; source_sha256=abac518864faed94439d75d204e8c16ea75cf3a74c93ee50e128e0f6928a6d63
kernel/GPL,amazon_ld_sysfs,drivers/staging/amazon/amzn_ld.c,source 0664 attributes do not establish node access,config/module evidence in phase6np, no framework sink,existing audit reports no exposed odm:ld attributes and shell-denied module parameters; no sysfs write,closed,Strong evidence,drivers/staging/amazon/amzn_ld.c; source_sha256=4ef656e1a4e54bce29c6f54d62478b5b68dd093abe2641b85ee15feb1f30d1bc
kernel/GPL,amazon_path_correction,drivers/amazon (absent); drivers/staging/amazon (present),canonical path is staging; no caller-to-framework edge,kernel source tree path inventory,no HOME/PMS/ATMS edge,phase6br/phase6np read-only or shell-denied Amazon surfaces,closed,Strong evidence,drivers/amazon (absent); drivers/staging/amazon (present); source_sha256=
kernel/GPL,rpmb,drivers/char/rpmb/rpmb-mtk.c,caller/node boundary unknown,phase6n CSV source-only inventory,no framework sink,no preserved RPMB open/ioctl or node policy evidence; source has no local caller gate,unknown,Unknown,drivers/char/rpmb/rpmb-mtk.c; source_sha256=a6b070190ad8b97173c129509e6d8f8ae8c9f0d383bc349be44d9c919387c8d5
kernel/GPL,input_evdev,drivers/input/evdev.c,generic evdev boundary not established for ordinary app,kernel.config:1971 CONFIG_INPUT_EVDEV=y,no direct framework sink,no runtime app caller or event injection evidence,static-only,Strong evidence,drivers/input/evdev.c; source_sha256=7664e11a712c24b906da6cbf3504c96e00a6b3ca7d64e5b286a345141ada2d28
kernel/GPL,usb_devio,drivers/usb/core/devio.c,USB node/domain boundary not established,kernel.config:2994-3018 USB/XHCI/MTK paths enabled,no direct framework sink,no preserved USB ioctl/URB caller or effect,static-only,Strong evidence,drivers/usb/core/devio.c; source_sha256=655a3f79b2230031e0f2dfef4fbb699d832db9054debf47fd5186acec0af2768
kernel/GPL,vendor_mediatek_path,platform/vendor/mediatek (present); platform/kernel/mediatek/mt8183/4.4/vendor/mediatek (absent),archive vendor tree is not kernel-root build proof,,no direct sink,no runtime binding of arbitrary vendor files to booted kernel or caller,unknown,Unknown,platform/vendor/mediatek (present); platform/kernel/mediatek/mt8183/4.4/vendor/mediatek (absent); source_sha256=
