id,surface,package_or_binary,entrypoint,caller,permission_or_gate,uid_or_domain,user_scope,sink,effect,evidence,confidence,missing_edge,next_safe_step
BS-001,OOBE component-state writer,com.amazon.kindle.otter.oobe,PackageHelper.setComponentEnabledSetting,Amazon OOBE helper/receiver path; external production caller not isolated,OOBE lifecycle and PMS component-state checks; no explicit user argument,System/priv-app context likely; exact UID/domain not closed,implicit current process/user,PackageManager.setComponentEnabledSetting(state 2/1 flags 1),enables/disables an OOBE component; target and user are dynamic,artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/oobe-helper-state.csv:6; artifacts/phase6w/exported-component-audit-20260805-01/high-impact-exported-candidates.csv:582,Confirmed static; reachability unknown,exact target component; caller UID/domain; user attribution; accepted PMS result,Host-only compare of a new exact-build OOBE source/manifest; no dispatch
BS-002,OOBE settings writer,com.amazon.kindle.otter.oobe,SettingsDBUtils writes Secure/Global settings,OOBEActivationHelper and OTA/OOBE lifecycle callers; no ordinary caller proven,framework SettingsProvider permission and OOBE/provisioning predicates,priv-app/system-facing context; exact UID/domain unknown,primarily User 0 in saved OOBE artifact but explicit user propagation unknown,ContentResolver insert/update to Settings.Secure/Global,changes user_setup_complete device_provisioned and isOOBEActive; no package/HOME setter,artifacts/phase6n/oobe-ipc-ota-audit-20260804-191216/oobe-helper-state.csv:2-5; decompiled/jadx/ota-PS7331/settings/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java:21-74,Confirmed static; privileged lifecycle,exact provider authorization; explicit user; production entrypoint; persistence timing,Host-only compare of provider/source additions; do not invoke OTA/OOBE actions
BS-003,OOBE exported lifecycle receiver,com.amazon.kindle.otter.oobe/.BootAfterSystemOTAReceiver,BootAfterSystemOTAReceiver,system-server OTA sender only; ordinary sender not established,RECEIVE_BOOT_AFTER_SYSTEM_OTA signature|amazon plus protected action and phase-550/PMS-upgrade checks,system_server sender domain; receiver package UID unknown,User 0/setup context inferred only from OOBE flow,receiver reaches OOBE component/settings helpers,OTA-gated OOBE activation and component state changes; not a public HOME setter,artifacts/phase6w/exported-component-audit-20260805-01/high-impact-exported-candidates.csv:582; work/luna_worker_fosinit_exported_sink_followup_20260810.csv,Confirmed static; privileged OTA lifecycle,actual sender identity and exact user delivery; no runtime effect,Host-only inspect a newly preserved exact-build manifest/source delta; never send broadcast
BS-004,Amazon private component policy action,Amazon fosservices EnableDisableComponentAction,"enableDisableComponent(String,boolean)",internal product-policy action; external caller not proven,matching policy input and trusted internal caller required; downstream PMS checks apply,system_server/privileged domain likely; exact UID unknown,explicit user parameter not visible in bounded callsite,AmazonPackageManager.setComponentEnabledSetting and setApplicationEnabledSetting,can change arbitrary dynamic component/package state supplied by policy input; no Fire literal in bounded method,artifacts/phase6cf/normal-user-state-writers-20260805-01/normal-user-state-writers.csv:37,Strong static writer; route unknown,policy input provenance; action publication/export; target validation; user ID,Host-only trace of action registration and callers in a new exact-build corpus
BS-005,Amazon OOBE registration component writer,Amazon fosservices AppAdapterHandler,goToRegistration(),Amazon input/keymapping adapter; production trigger not identified,PackageManager component-state checks; no local permission in bounded method,system_server/privileged service context likely; exact UID/domain unknown,implicit current user,PackageManager.setComponentEnabledSetting(com.amazon.tv.oobe/.RegistrationActivity),enables OOBE RegistrationActivity; component state only,artifacts/phase6cf/normal-user-state-writers-20260805-01/normal-user-state-writers.csv:32,Static direct target; reachability unknown,trigger/publication; caller identity; explicit user; PMS acceptance,Host-only source/caller join; no action trigger
BS-006,Amazon Gemini mode package writer,Amazon fosservices GeminiHandler,disableGeminiIfRequired(),mode-switch service handler; production caller not isolated,PackageManager enabled-setting checks; no local gate visible in bounded method,privileged/system service context likely; exact UID/domain unknown,implicit current user,PackageManager.setApplicationEnabledSetting(dynamic package),enables/disables Gemini-selected package; no Fire/HOME literal,artifacts/phase6cf/normal-user-state-writers-20260805-01/normal-user-state-writers.csv:33,Static generic writer; reachability unknown,dynamic package source; mode-switch caller; explicit user; persistence/result,Host-only inspect exact handler callers and package selector
BS-007,DCPMS exported profile-policy receiver,com.amazon.dcpms.fos.service/.lifecycle.pca.profileswitch.PCAActiveProfileReceiver, onReceive(ACTION_ACTIVE_PROFILE_UPDATED),broadcast producer unknown; receiver exported,component permission blank in inventory; producer/action authorization unknown,package UID/domain not established,active profile/user context; exact user mapping unknown,CDE profile type/active-app-list persistence and DeviceExperienceModeEvaluator.evaluate,changes parental/profile policy state; no PMS/HOME sink found,work/luna_worker_phase6sv_exported_surface_20260810.csv:6,New static unknown; no qualifying package sink,producer identity; custom permission/manifest exact protection; persistence file and user mapping,Host-only inspect receiver source and manifest permission resolution; do not send broadcast
BS-008,DCPMS protected user-switch receiver,com.amazon.dcpms.fos.service/.lifecycle.device.userswitch.DeviceUserSwitchReceiver,onReceive(USER_SWITCHED),system protected-broadcast producer only; ordinary sender not established,android.intent.action.USER_SWITCHED protected action,system/AMS broadcast domain; package UID unknown,user-switch target; exact User 0 effect unknown,CDE OS-user/profile-type persistence and child-mode active-app-list clear,policy state follows user switch; no package/HOME sink,work/luna_worker_phase6sv_exported_surface_20260810.csv:7,Strong static receiver; sink limited to policy state,producer and exact persistence consumer; user mapping; merged permission/SELinux,Host-only source/manifest/policy join; no broadcast delivery
BS-009,SettingsProvider exported state writer,com.android.providers.settings/.SettingsProvider,insert/update/delete settings,external ContentProvider clients; exact client not proven,WRITE_SECURE_SETTINGS for secure/global; WRITE_SETTINGS/app-op for system; cross-user gate,android.uid.system provider; client UID/domain unknown,calling user and requested namespace,SettingsProvider writes settings database,can alter secure/global/system settings including setup/policy keys subject to per-key gates; no direct package/HOME sink,work/luna_worker_phase6wk_broad_surface_20260810.csv:WK-014/WK-015; artifacts/phase6w/exported-component-audit-20260805-01/high-impact-exported-candidates.csv:256,Confirmed framework writer; client route unknown,per-key restrictions; provider SELinux; exact caller grant and target key,Host-only compare provider manifest/source and permission holders
BS-010,DPM package suspension/hidden writer,system_server DevicePolicyManagerService,setApplicationHidden / setPackagesSuspended,active admin/device-owner/profile-owner caller; ordinary app/shell route not proven,active-admin/owner checks plus PMS permission and protected-package checks; DPM caller UID checked,system_server UID 1000 after internal delegation; admin user scope,admin/profile-owner user and target user argument,IPackageManager.setApplicationHiddenSettingAsUser / setPackagesSuspendedAsUser,can hide or suspend packages for a user; no HOME setter and no proven User-0 ordinary route,artifacts/phase6cf/normal-user-state-writers-20260805-01/normal-user-state-writers.csv:20-21; work/luna_worker_parent_profile_dpm_sink_closure_20260810.md,Confirmed static; previously bounded and not a new exploit path,exact admin identity/grant; target package; accepted result; cross-user provenance,Reuse saved Phase 10/parent-owner evidence; no policy API calls
BS-011,CMDQ/MDP native node,Amazon/MediaTek kernel driver (/dev/mtk_cmdq; /proc/mtk_cmdq_debug),CMDQ_IOCTL_ASYNC_EXEC/WAIT and MDP ioctl handlers,no exact shipped ELF open/ioctl caller,device node mode/init ownership only; merged TE allow unresolved,init records system:system node ownership; caller domain/UID unknown,device-global kernel/display state,CMDQ/MDP ioctl copy/dispatch to register/DMA/display-engine state,can affect display/DMA state; no package/PMS/AMS/HOME sink,work/luna_worker_phase13_driver_join_20260810.csv:13D-001,Unknown by Phase 13,final object/module and DTB; merged file_contexts/TE; native caller; input-to-node edge,Host-only join against a newly supplied exact-build object/DT/policy/native inventory
BS-012,ION native node,Android/MediaTek kernel driver (/dev/ion),ION alloc/free/map/share/import/sync/custom ioctl,no exact top-level shipped native opener; libraries alone are not caller proof,node labels and policy allow are incomplete; heap/DT delivery unresolved,system:graphics metadata suggested but domain/UID unknown,device-global DMA/secure/physical memory state,ION ioctl family and MTK custom controls,can affect DMA/secure/physical memory state; no framework package/HOME sink,work/luna_worker_phase13_driver_join_20260810.csv:13D-002,Unknown by Phase 13,final heap/object/DT; exact merged node policy; native caller/domain; loader-to-open edge,Host-only join of final object/DT/policy and exact native caller
BS-013,uinput native node,Android kernel driver (/dev/uinput),UI_DEV_CREATE/UI_DEV_DESTROY/write/ioctl,no exact shipped ELF open/write/ioctl caller,conflicting plat/vendor labels and missing allow tuple; init ownership not caller proof,init metadata suggests system:net_bt_admin but actual domain/UID unknown,device-global synthetic input graph,uinput create/destroy/event writes,can create synthetic input devices; no package/PMS/AMS/HOME sink,work/luna_worker_phase13_driver_join_20260810.csv:13D-004,Unknown by Phase 13,final ueventd mode/label; merged TE; shipped object; native caller; downstream input consumer,Host-only join of final node policy/object and native caller
BS-014,RPMB native char/service,"MediaTek RPMB driver and rpmb_svc (/dev/rpmb0,/dev/emmcrpmb0,/dev/block/*rpmb)",unlocked_ioctl authenticated RPMB operations,rpmb_svc init service; exact ELF callsite and API caller not recovered,TEE/authentication plus incomplete node mode/allow tuple,service UID/group metadata includes system/drmrpc; domain and caller unresolved,device-global authenticated persistent storage,unlocked_ioctl RPMB authenticated read/write/counter operations,can alter authenticated persistent storage; no package/PMS/AMS/HOME sink,work/luna_worker_phase13_driver_join_20260810.csv:13D-007,Unknown by Phase 13,final node/object registration; service ELF callsite; UID/domain/capability; userspace validation,"Host-only inspect exact service ELF, DT/ueventd, and merged SELinux policy"
