evidence_id,area,source,sha256,path,method,observed,capability_vs_caller,status,notes
TG-01,OTA provenance,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5,firmware/original/update-kindle-Fire_HD10-PS7331_user_4463_0031575863172.bin,member/hash inventory,PS7331 official package identity and hash,package provenance,Confirmed,Existing local artifact only
TG-02,OTA format,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/members.json,73647770903168819a92b5861bb57416226abd4bfc29f2d135f76a2f3e5f48d4,firmware/extracted/PS7331/,ZIP member listing,no payload.bin or A/B postinstall in known members,format capability,Confirmed,Known corpus bounded
TG-03,Write boundary,firmware/extracted/PS7331/META-INF/com/google/android/updater-script,4a61d66754187a5b84f173ad7bc50216b00969743ce3193346762613615ac248,META-INF/com/google/android/updater-script:1-24,script text audit,system vendor boot-chain and cache blocklist targets,high-privilege writer capability,Confirmed,Not executed
TG-04,Native updater,META-INF/com/google/android/update-binary,02643fa987778361742a5ecaa601034b7f20a55df9bacc58ec8bbcdcd8ac896b,META-INF/com/google/android/update-binary,static CFG/disassembly,registration extraction open fsync block-image handlers,high-privilege capability,Strong evidence,Hash as recorded in prior findings
TG-05,Dispatch,artifacts/phase6mk-updater-dispatch-20260810-01/registration-dispatch.csv,443c69127293d18903d469f7a670a4b58b208cdbf6402c240ecaeec6e307ecb,registration-dispatch.csv,callback registry review,24 install callback registrations,capability not shell caller,Confirmed,Registry is not public API
TG-06,Temp/canonicalization,artifacts/phase6ne-updater-cache-flow-20260810-03/selected-functions.csv,1cb21f3de9403c54e080c27f2d285d8e76a0e3a970063a250cdcc3c222a98b60,selected-functions.csv and direct-call-edges.csv,bounded disassembly edge review,CacheSizeCheck mkdir stat chown and readlink markers; full dataflow incomplete,capability only; caller unknown,Unknown,No traversal test
TG-07,Verifier provenance,findings/phase-6kt-recovery-verifier-provenance.md,484273958f44898c6b94a208da4e144936df09a191e03efe6316c18d167fe732,Java verifier/staging and UpdateSystem.install,source/decompilation review,metadata hash signature PVT then privileged handoff,privileged caller path but native endpoint incomplete,Strong evidence,No sideload/recovery execution
TG-08,Reachability,output/tables/phase6kt-recovery-gates.csv,,phase6kt-recovery-gates.csv,evidence-table review,no shell or ordinary APK updater caller chain,capability separated from reachability,Strong evidence,Bounded negative
TG-09,otadexopt,output/tables/phase6ae-otadexopt-methods.csv,,phase6ae-otadexopt-methods.csv,VDEX/disassembly plus saved RO capture,shell-visible service; done/progress precondition path,service capability not partition/HOME writer,Confirmed,Mutation reachability remains Unknown
TG-10,OOBE caller,artifacts/phase6u/bootafter-ota-scope-20260805-01/bootafter-ota-scope.csv,,bootafter-ota-scope.csv,source/dataflow review,system-server boot phase and isUpgrade guarded sender plus OOBE mutations,guarded privileged caller and capability,Confirmed,Not replayed
TG-11,OOBE authorization,artifacts/phase6r/ota-oobe-authorization-20260805-05/oobe-authorization-matrix.csv,,oobe-authorization-matrix.csv,manifest and permission comparison,receiver permission metadata incomplete; action not authentication,authorization capability but ordinary caller unproven,Strong evidence,Authorization completeness Unknown
TG-12,Non-execution,artifacts/phase6i/phase6i-ota-postinstall-20260804-01/summary.json,,summary.json,saved audit metadata,device_contacted false updater_executed false,procedure boundary,Confirmed,Host-only
TG-13,Source provenance,artifacts/phase6c5/gpl-source-scope-20260804-01/scope.csv,,scope.csv plus kernel/source-manifest.json,archive scope and hash manifest,MT8183 kernel present Android init source absent,source capability/provenance,Confirmed,Does not claim full userspace source
TG-14,Kernel debug surface,artifacts/phase6nb-amzn-drv-test-source-closure-20260810-04/phase6nb-amzn-drv-test-source.csv,,phase6nb-amzn-drv-test-source.csv,source grep and config review,proc write callback and owner-write source; shipped node SELinux caller not closed,capability only; caller unknown,Strong evidence,No device access; reachability remains Unknown
TG-15,Unsafe validation boundary,local audit scope,,symlink malformed OTA recovery flash reboot tests,explicit safety exclusion,no dynamic reachability evidence obtained,risk-rejected,Risk-rejected,No exploit construction or mutating operation
