phase,source_id,surface,entrypoint_or_source,caller_or_input,gate_or_policy,user_scope_or_target,sink_or_effect,evidence,confidence,open_gap
9,9B-001,existing-evidence,host-side disassembly/JADX/data-flow review,UNKNOWN,UNKNOWN,UNKNOWN,createChildUser -> enableKftLauncher tx3; writer consumes supplied child UserInfo.id and has no fixed User 0/HOME setter; external APK caller remains unresolved,work/luna_worker_phase9b_kft_client_identity_20260810.csv; work/luna_worker_phase9b_kft_client_identity_20260810.md,Confirmed,"exact APK/native caller, UID/signature, tx3 local authorization, fresh runtime attribution"
9,9C-DCPMS-001,existing-evidence,host-side manifest/source/AIDL review,UNKNOWN,UNKNOWN,UNKNOWN,"DCPMS service is exported singleUser with GET_DCP decision permission; no recovered client; read-only decision sink, no PMS/HOME mutation",work/luna_worker_phase9c_residual_ipc_20260810.csv,Unknown,"production client/UID, service-manager lookup, permission grant, external user mapping"
9,P9D-001,existing-evidence,host-side disassembly and caller-inventory review,UNKNOWN,UNKNOWN,UNKNOWN,Amazon flags/metadata mutators and ADD_RM_PKG_METADATA gate are static; production caller and downstream HOME consumer not found,work/luna_worker_phase9d_broad_surface_triage_20260810.csv,Strong evidence,"production caller, effective grant, persistence consumer and HOME/component edge"
10,CHILD-TEST-20260805-01,existing-evidence,saved historical ADB UI test plus final read-only guards,UNKNOWN,UNKNOWN,UNKNOWN,"child-profile UI path was exercised historically; final guard retained User 0, Fire HOME, and activity state; no current replay performed",adb/child-profile-tests/CHILD-TEST-20260805-01/commands.txt; sha256sums.txt,Confirmed,exact child lifecycle attribution and equivalence to ordinary User-0 route
10,10A-PM-001,existing-evidence,static PMS sink review plus saved resolve-activity baseline,UNKNOWN,UNKNOWN,UNKNOWN,setAmazonFlagsForUser persists Amazon flags for caller-supplied user; saved User 0 HOME resolves Fire Launcher priority 50; no caller-to-HOME edge,work/luna_worker_phase10a_package_manager_closure_20260810.csv; adb/phase10/PHASE10-BASELINE-20260810-01/home_user0.stdout.txt,Strong evidence,"production caller/UID/signature, service-manager/SELinux tuple, runtime userId provenance"
10,10B-DPM-001,existing-evidence,static DPM gate review plus saved cmd device_policy read,UNKNOWN,UNKNOWN,UNKNOWN,restriction path reads calling UID and uses DPM/UserManager policy sinks; baseline shows User 0 parentalcontrols and User 10 tahoe profile owners; no HOME sink,work/luna_worker_phase10b_dpm_profile_closure_20260810.csv; adb/phase10/PHASE10-BASELINE-20260810-01/device_policy.stdout.txt,Confirmed,exact client grant/domain tuple and runtime userId provenance
10,10B-PARENT-001,existing-evidence,manifest/decompiled source and policy-owner review,UNKNOWN,UNKNOWN,UNKNOWN,com.amazon.parentalcontrols is a User 0 Profile Owner with fixed policy/lock-task inputs; arbitrary launcher/package/HOME relay not shown,work/luna_worker_parent_profile_dpm_sink_closure_20260810.csv,Confirmed,"runtime UID/signature, owner provisioning provenance, complete exported-component flow"
10,10C-001/002,existing-evidence,host-side decompilation and protected-broadcast review,UNKNOWN,UNKNOWN,UNKNOWN,BOOT_AFTER_SYSTEM_OTA receiver and phase-550 system-server path statically reach component/settings helpers behind upgrade/protected gates; no runtime OTA effect observed,work/luna_worker_phase10c_ota_postinstall_closure_20260810.csv; findings/phase-6my-ota-receiver-package-helper-closure.md,Strong evidence,"numeric delivery user, sender authorization and sequencing"
10,10C-003/008,existing-evidence,host-side service/source/data-flow review,UNKNOWN,UNKNOWN,UNKNOWN,OTA bind/install/recovery handoff capability is present behind signature|privileged CONTROLLER gate; no transaction/install/recovery execution,work/luna_worker_phase10c_ota_postinstall_closure_20260810.csv; artifacts/phase6r/ota-ipc-static-audit-20260805-03/report.md,Confirmed,"implementation caller identity, native handoff, AVB/rollback chain"
10,10C-012,existing-evidence,negative caller-chain review,UNKNOWN,UNKNOWN,UNKNOWN,no complete ordinary APK or shell UID 2000 route to OTA controller/install/recovery/partition writer was found; no route/effect observed,work/luna_worker_phase10c_ota_postinstall_closure_20260810.csv,Disproved,exact-version native provenance and SELinux closure outside corpus
10,10D2-001/003/004/010,existing-evidence,host-side source/config/policy/native-caller inventory,UNKNOWN,UNKNOWN,UNKNOWN,"CMDQ/M4U/uinput/RPMB surfaces are source/config capabilities with no exact shipped opener, UID/domain, node policy and end-to-end package/HOME sink; retained status UNKNOWN",work/luna_worker_phase10d_driver_caller_closure_20260810.csv; work/luna_worker_phase7c_kernel_driver_closure_20260810.csv,Unknown,"final object/DT/node labels, TE allow, native caller and effect chain"
11,PHASE11-ACCESSIBILITY-LIVE-T01,existing-evidence,saved historical bounded accessibility test with before/after/final read-only observations,UNKNOWN,UNKNOWN,UNKNOWN,foreground and formal HOME remained com.amazon.firelauncher/.Launcher at priority 50; redirect package absent; service not present after HOME; classification says foreground redirect only,adb/phase11/PHASE11-ACCESSIBILITY-LIVE-T01/result.json; metadata.json; sha256sums.txt,Confirmed,repeatability across build/state and persistence outside bounded run
11,PHASE11-ACCESSIBILITY-LIVE-T02,existing-evidence,saved historical bounded accessibility test with rebind poll and read-only observations,UNKNOWN,UNKNOWN,UNKNOWN,foreground and formal HOME remained Fire Launcher priority 50; redirect package absent; service was present before HOME and in poll 1; classification remains foreground redirect only,adb/phase11/PHASE11-ACCESSIBILITY-LIVE-T02/result.json; metadata.json; sha256sums.txt,Confirmed,longer persistence/reboot behavior and formal HOME writer provenance
10,PHASE10-BASELINE-20260810-01,existing-evidence,saved read-only ADB baseline; no command executed in this audit,UNKNOWN,UNKNOWN,UNKNOWN,current user 0; users 0 running and 10 present; User 0 Fire HOME priority 50; User 10 FallbackHome priority -1000; metadata binder_transaction=false,adb/phase10/PHASE10-BASELINE-20260810-01/metadata.json; sha256sums.txt; users.stdout.txt; current_user.stdout.txt; home_user0.stdout.txt; home_user10.stdout.txt,Confirmed,build drift and whether saved state remains current
12,AmazonUserManager/KFT,AmazonUserManager/KFT,IAmazonUserManager tx3 enableKftLauncher(UserInfo),trusted KFT child lifecycle,private service plus lifecycle gate; exact local permission UNKNOWN,supplied UserInfo.id; observed child User 10 not User 0,AmazonPackageManager setters to PMS tx90/tx92,phase-6bk and phase-6er findings,Strong evidence,exact tx3 caller check and arbitrary UserInfo path
12,AmazonUserManager lookup,AmazonUserManager lookup,ServiceManager.getService amazonusermanagerservice,ordinary no-permission APK,handle lookup exposed; tx3 gate not implied,lookup User 0 context; tx3 target UNKNOWN,Binder handle and descriptor only,phase-6fh finding,Strong evidence,tx3 authorization and parcel edge
12,AmazonPackageManager Binder,AmazonPackageManager Binder,IAmazonPackageManager tx1-11,system-server or Amazon framework caller,ADD_RM_PKG_METADATA for metadata writers; query gates UNKNOWN,per-user metadata args; cross-user validation UNKNOWN,metadata flags proxy and query methods,phase-6ia and phase-6mx findings,Strong evidence,complete caller inventory and user validation
12,AmazonPackageManager facade,AmazonPackageManager facade,setApplicationEnabledSetting and setComponentEnabledSetting,Amazon trusted caller such as KFT,ordinary PMS permission protected-package and cross-user gates,KFT uses UserInfo.id; other caller scope UNKNOWN,PMS tx92 and tx90,phase-6ia and phase-6mh findings,Strong evidence,all facade callers and per-caller PMS result
12,ProductPolicy,ProductPolicy,EnableDisableComponentAction.enableDisableComponent,system-server ProductPolicy callback,policy file and user-list input; no public ProductPolicy Binder,policy-selected user list; exact validation UNKNOWN,AmazonPackageManager setters to PMS,phase-6ce finding and fosservices lines 293661-293770,Strong evidence,policy provenance and runtime user list
12,OOBE AppAdapter,OOBE AppAdapter,AppAdapterHandler.goToRegistration,Amazon OOBE lifecycle callback,OOBE provenance; no exported caller path shown,numeric user UNKNOWN; system context likely system user,PackageManager.setComponentEnabledSetting to com.amazon.tv.oobe RegistrationActivity,phase-6mh finding and phase-6ni artifact,Probable,runtime user mapping and callback reachability
12,Gemini,Gemini,GeminiHandler.disableGeminiIfRequired,Alexa or settings observer,observer data-flow gate; permission and exported entrypoint UNKNOWN,scope UNKNOWN; fixed package only,PackageManager.setApplicationEnabledSetting to Gemini,phase-6mh writer CSV and fosservices lines 30322-30355,Probable,caller registration and user flow
12,Espresso boot receiver,Espresso boot receiver,EspressoShotCallback disable or re-enable boot receivers,Espresso or job framework callback,metadata and permission gated receiver map,receiver map user scope UNKNOWN,PackageManager.setComponentEnabledSetting,phase-6mh writer CSV,Probable,receiver metadata and numeric user scope
12,Shell PMS setter,Shell PMS setter,PackageManagerShellCommand.runSetEnabledSetting,shell UID 2000,standard PMS protected-package and cross-user gate,explicit --user; User 0 possible but protected gate remains,IPackageManager tx92 or tx90,phase-6hp and phase-6mh findings,Strong evidence,exact rejection text for this build
12,PMS enabled-state sink,PMS enabled-state sink,PackageManagerService.setEnabledSetting,system_server internal dispatch,upstream caller-specific PMS checks; internal sink only,userId argument; validation varies by caller,PMS enabled component or application state,phase-6mh artifact CSV,Strong evidence,per-callsite upstream gate for remaining internals
12,Preferred facade,Preferred facade,AmazonPackageManagerImpl.replacePreferredActivity,Amazon framework facade caller,standard preferred-app permission and resolver gates; Amazon caller permission UNKNOWN,facade user scope UNKNOWN,IPackageManager replacePreferredActivity to PMS,phase-6mw and phase-6ia findings,Probable,complete caller list and userId propagation
12,PMS preferred activity,PMS preferred activity,PackageManagerService addPreferredActivityInternal or replacePreferredActivity,system app settings DPM or SET_PREFERRED_APPLICATIONS caller,checkCallingOrSelfPermission SET_PREFERRED_APPLICATIONS plus resolver gates,explicit userId or AsUser; cross-user detail varies,preferred activity records in PMS,phase-6mw artifact,Strong evidence,entrypoint to caller mapping
12,PMS HOME sink,PMS HOME sink,IPackageManager.setHomeActivity tx89,PackageManager shell or system caller,framework permission and user or protected resolver checks; exact block partly unresolved,explicit userId; User 0 possible at sink but caller gate unresolved,PMS HOME preferred component state,phase-6mw artifact and home-preferred finding,Probable,exact setHomeActivity permission and caller provenance
12,DPM persistent preferred,DPM persistent preferred,DevicePolicyManagerService addPersistentPreferredActivity,active Device or Profile Owner,active-admin and owner checks; wrapper permission UNKNOWN,calling profile owner scope with UserHandle markers,PMS persistent preferred activity,phase-6cq finding and phase-6mw artifact,Strong evidence,exact DPM permission text and component constraints
12,Amazon DPM restriction,Amazon DPM restriction,IAmazonDevicePolicyManager tx1 and tx2,ordinary app handle plus generic restriction path,Amazon keys require MANAGE_USERS; generic branch reaches DPM owner gate,parcel userId; downstream owner and cross-user validation,UserManager or DPM restriction state only; no package or HOME sink,phase-6et and phase-6dp findings,Strong evidence,exported component inventory for DPM callers
12,ProxyReceiver,ProxyReceiver,IAmazonPackageManager tx6 and tx7,ordinary app obtains Binder but PendingIntent creator is untrusted,checkCallerIsSystemApp via creator FLAG_SYSTEM; no metadata permission on tx6/7,creator and service context; cross-user UNKNOWN,internal receiver then PendingIntent.send if allowed,phase-6ip finding,Strong evidence,other exported receiver or provider relays
12,LauncherHijackPreventer,LauncherHijackPreventer,system-server callbacks at ActivityStack AMS PackageManager PermissionManager,system-server callback fan-in; not app-exported Binder surface,system-server callback identity; clear identity UNKNOWN,visibility boolean plus READ_LOGS and fdrw bookkeeping,task and permission policy only; no direct Fire or HOME injection,phase-6am finding and launcherhijackpreventer fosinit,Strong evidence,unpreserved native or overlay callback edges
12,Fire Launcher,Fire Launcher,com.amazon.firelauncher Launcher MAIN HOME DEFAULT activity,Android 9 runtime exported HOME activity; no bounded service receiver or provider writer,resolver user context; no Binder identity,HOME resolver User 0 runtime selected,PMS resolver to Fire Launcher activity,firelauncher manifest finding,Strong evidence,complete exported component inventory
12,Amazon exported components,Amazon exported components,all exported service receiver provider candidates in preserved manifests,manifest-exported entrypoints; exact list and permissions incomplete,component Binder broadcast or provider identity UNKNOWN,per-component user scope UNKNOWN,downstream sink UNKNOWN where no direct writer evidence,phase-6h manifest-components CSV and phase-6mt finding,Hypothesis,complete exported inventory with permission and userId scope
12,package-script,package-script,updater-script:1-2,recovery/update-binary context only,date >= 1746234888 and ro.product.device == trona,none,script evaluation,firmware/extracted/PS7331/META-INF/com/google/android/updater-script; META-INF/com/android/metadata,Strong evidence,caller and runtime verification handoff UNKNOWN
12,partition-update,partition-update,block_image_update:6,/recovery or updater native process,prior script guards plus updater/recovery execution,/dev/block/platform/bootdevice/by-name/system,block_image_update,updater-script:6; artifacts/phase6mk-updater-dispatch-20260810-01/updater-script-entrypoints.csv,Strong evidence,AVB/SELinux/native write implementation UNKNOWN
12,partition-update,partition-update,block_image_update:10,/recovery or updater native process,prior script guards plus updater/recovery execution,/dev/block/platform/bootdevice/by-name/vendor,block_image_update,updater-script:10; artifacts/phase6aw/ota-write-contract-20260805-01/ota-write-contract.csv,Strong evidence,AVB/SELinux/native write implementation UNKNOWN
12,partition-update,partition-update,package_extract_file:13,/recovery or updater native process,prior script guards plus updater/recovery execution,/dev/block/platform/bootdevice/by-name/boot,package_extract_file,updater-script:13; phase6mk updater entrypoints,Strong evidence,path/permission/SELinux runtime UNKNOWN
