surface,entrypoint,input,gate,caller_scope,sink,write_target,observed_effect,evidence,confidence,open_gap
package-script,updater-script:1-2,package metadata/date and ro.product.device,date >= 1746234888 and ro.product.device == trona,recovery/update-binary context only,script evaluation,none,static guards only,firmware/extracted/PS7331/META-INF/com/google/android/updater-script; META-INF/com/android/metadata,High,caller and runtime verification handoff UNKNOWN
partition-update,block_image_update:6,system.transfer.list plus system.new.dat.br/system.patch.dat,prior script guards plus updater/recovery execution,/recovery or updater native process,block_image_update,/dev/block/platform/bootdevice/by-name/system,no partition write performed,updater-script:6; artifacts/phase6mk-updater-dispatch-20260810-01/updater-script-entrypoints.csv,High,AVB/SELinux/native write implementation UNKNOWN
partition-update,block_image_update:10,vendor transfer/patch inputs,prior script guards plus updater/recovery execution,/recovery or updater native process,block_image_update,/dev/block/platform/bootdevice/by-name/vendor,no partition write performed,updater-script:10; artifacts/phase6aw/ota-write-contract-20260805-01/ota-write-contract.csv,High,AVB/SELinux/native write implementation UNKNOWN
partition-update,package_extract_file:13,boot.img,prior script guards plus updater/recovery execution,/recovery or updater native process,package_extract_file,/dev/block/platform/bootdevice/by-name/boot,no extraction or write performed,updater-script:13; phase6mk updater entrypoints,High,path/permission/SELinux runtime UNKNOWN
firmware-partitions,package_extract_file:15-23,preloader/lk/tee/spmfw/sspm/cam_vpu images,prior script guards plus updater/recovery execution,/recovery or updater native process,package_extract_file,"/dev/block/platform/bootdevice/by-name/{preloader,lk,tee1,tee2,spmfw,sspm_1,cam_vpu1,cam_vpu2,cam_vpu3}",no extraction or write performed,updater-script:15-23; phase6aw write contract,High,boot-chain verifier and SELinux runtime UNKNOWN
cache,package_extract_file:24,target.blocklist,script evaluation and updater/recovery execution,/recovery or updater native process,package_extract_file,/cache/recovery/last_blocklist,no cache write performed,updater-script:24,High,cache label/SELinux and runtime effect UNKNOWN
native-updater,main/Evaluate,updater-script expressions and ZIP entries,static parser/evaluator branches; process caller not observed,recovery/update-binary process,PackageExtractFileFn and PerformBlockImageUpdate,package-selected files and partition targets,static call edges only,artifacts/phase6ne-updater-cache-flow-20260810-02/focus-disassembly.txt; direct-call-edges.csv,High,entry process UID/domain and exact sink handoff UNKNOWN
cache-native,CacheSizeCheck/MakeFreeSpaceOnCache,required cache bytes and cache directory entries,space check then directory/stat/readlink logic,native updater context,unlink and FreeSpaceForFile,cache entries,none; no runtime deletion,artifacts/phase6ne-updater-cache-flow-20260810-02/selected-functions.csv; direct-call-edges.csv,High,canonicalization/symlink policy/cache root/runtime effect UNKNOWN
java-sideload,SideloadInstaller.installSideload,sideload File,verifySideloadWithoutRecoveryCheck then move,OTA task/service caller; external caller UNKNOWN,UpdateSystemWrapper.install,UpdateSystem-managed OTA staging,not invoked,phase6j OTA APK SideloadInstaller.java:65-94,High,receiver/job/Binder caller and native UpdateSystem behavior UNKNOWN
java-verifier,SideloadInstaller.verifySideloadIntegrity,sideload File,sanity metadata product/version/signature/PVT/device and RecoverySystemWrapper verification,OTA task/service path,verification handoff,none,static validation chain only,artifacts/phase6ab/ota-input-validation-20260805-03/ota-input-validation.csv; SideloadVerifier.java,High,recovery/native certificate and AVB handoff UNKNOWN
java-cache,SideloadDeviceStateChecker.clearCache,download/cache state and storage threshold,battery/storage check and recovery-cache exclusion,privileged OTA task path,delete/cleanup helper,download-cache excluding recovery-cache,no cleanup performed,phase6ab ota-input-validation matrix; SideloadDeviceStateChecker.java,High,actual path values and SELinux runtime UNKNOWN
ota-service,OtaService.onStartCommand,Intent/action and task resolver state,service task queue plus wake lock/job scheduling,manifest/exported/caller scope not closed,task dispatch toward OTA checks,OTA service persistence/job state,no service started,phase6j OtaService.java:118-125,Medium,exact caller permission/exported state/runtime dispatch UNKNOWN
ota-receivers,OTABootReceiver.onReceive / OTADeferredOSInstallReceiver.onReceive,boot/deferred-install intent,application injection plus task/job scheduler,caller authorization not fully closed,boot or deferred OTA task scheduling,OTA job state,no broadcast delivered,phase6j OTABootReceiver.java:32-45; OTADeferredOSInstallReceiver.java:20-29,Medium,manifest gates and runtime caller UNKNOWN
