row_id,subject,status,holder_or_caller,edge_or_finding,evidence_path,line_method_offset,source_sha256
SN-01,ADD_RM_PKG_METADATA declaration,Confirmed,owner declaration only; holder/grant Unknown,raw protectionLevel=0x80000002 (signature|privileged),artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,permission line 1822; XML lines 1936-1938,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed
SN-02,Amazon PM mutator permission gate,Confirmed,production caller UID/signing identity Unknown,remove/set flags and metadata methods call checkCallingOrSelfPermission(amazon.permission.ADD_RM_PKG_METADATA),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,AmazonPackageManagerService.BinderService lines 95955-96026,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
SN-03,Amazon PM Binder transaction mapping,Confirmed,caller remains Unknown,IAmazonPackageManager transaction codes: set flags=1 remove flags=2 remove metadata=5 set metadata=4; implementation ranges are mapped,artifacts/phase6mt-amazon-ipc-candidates-20260810-01/method-matrix.csv,package rows; proxy lines 403202-403318,0d630a291c239decfd91fa9f0e0cda8b3744
SN-04,AmazonApplicationFlags persistence,Confirmed,caller/holder Unknown,mutators delegate to AmazonApplicationFlags and writeToFile; persistent sink is amazon_package_flags.xml,artifacts/phase6mu-amazon-application-flags-20260810-01/mutator-map.csv,rows 2-5; fosservices lines 95477-95578 and 95634-95730,dd0bd339be5b69d7aa20a983c0b074dc94159faafa932c6cdbf3080fe306372a
SN-05,ADD_RM holder/grant census,Unknown,no exact custom holder/grant join,Phase 6MC census has no exact ADD_RM_PKG_METADATA holder row; absence is not proof,artifacts/phase6mc-permission-holder-audit-20260810-05/permission-holders.csv,CSV lines 1-200,1f97fa825f8b7cd86f05653259ecf43359d496d15af4e21e0c53512274ebdb18
SN-06,Amazon PM production caller provenance,Unknown,caller/UID/signing identity Unknown,service handle/proxy/facade and generated Stub rows establish reachability surface but do not identify a production caller,artifacts/phase6mx-amazon-pm-callers-20260810-01/caller-calls.csv,AmazonPackageManagerImpl and Stub dispatch rows,884b8636fd1baff3c1790cb4398e9cb83588dd68260643a4c660876c5269af82
SN-07,PROFILE_INTERACTION declaration,Confirmed,holder/grant Unknown,raw protectionLevel=0x80000002 (signature|privileged),artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/018_android.amazon.perm.xmltree.txt,permission line 1748; XML lines 1864-1865,89e141fbf220b18a8fe4ca2a959119a3ea0915e158dd514677a5285951daefed
SN-08,PROFILE_INTERACTION service gate,Strong evidence,caller/holder/grant Unknown,AmazonProfileService checks permission with processId and userId and throws SecurityException on failure,artifacts/phase6mq-profile-launcher-helper-20260810-01/evidence/profile-permission-check.txt,enforceProfileInteractionPermissions lines 1-18; disassembly 78954-78964,ef83a57cabaa142b0ab16b745500ee3e03c60d7ea7d387f1d158e9fc3be86a5d
SN-09,PROFILE_INTERACTION manifest use,Strong evidence,DCPMS package use declaration; grant/caller Unknown,com.amazon.dcpms.fos.service requests PROFILE_INTERACTION,artifacts/phase6bk/protected-broadcast-union-20260810-02/manifests/021_com.amazon.dcpms.fos.service.xmltree.txt,uses-permission line 31; XML lines 27-30,9e3446c250d89a274ddf9438742d04e04950c9ce7d5b1b48beb318449b120fd4
SN-10,KFT transaction 3 proxy,Confirmed,external caller/UID Unknown,IAmazonUserManager.Stub.Proxy enableKftLauncher writes UserInfo then invokes IBinder.transact(code=3),decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,Stub.Proxy.enableKftLauncher lines 370398-370443; offsets 07b6ea-07b6ec,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71
SN-11,KFT production lifecycle caller,Confirmed child-scoped,external Binder caller/UID Unknown,boot/upgrade loop tests isChildUser then invokes BinderService.enableKftLauncher(UserInfo),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,lines 55080-55110; call offset 0439f2,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
SN-12,KFT component/application state sink,Confirmed child/profile scoped,upstream caller/UID Unknown,enableKftLauncherComponent calls setComponentEnabledSetting and setApplicationEnabledSetting for Tahoe and Fire/Launcher3 using UserInfo.id,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,lines 54297-54325; offsets 04320a-043242,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
SN-13,KFT caller authorization,Unknown,external caller/UID/signing identity Unknown,implementation contains clearCallingIdentity around empowerKftUser but no bounded authorization check closes the external caller,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,lines 54415-54478; offsets 042e26-042e8c,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c
SN-14,ADD_RM to KFT/HOME bridge,Disproved,no caller/holder implication,"AmazonApplicationFlags mutator/consumer inventory has no setHomeActivity, preferred-activity, or enabled-state edge; KFT is a separate AmazonUserManagerService path",artifacts/phase6mw-home-state-sinks-20260810-01/sink-calls.csv,rows 126-130; PMS sink definitions,51b924ec70b32c21d121f99b64ab997dace4bee805c52c86439808e6af6a15e6
SN-15,HOME sink authorization,Confirmed,caller identity varies by sink and is not joined to Amazon PM mutators,PMS HOME/preferred sinks use userId and SET_PREFERRED_APPLICATIONS or standard caller checks; not evidence of metadata bridge,artifacts/phase6mw-home-state-sinks-20260810-01/sink-calls.csv,rows 126-130,51b924ec70b32c21d121f99b64ab997dace4bee805c52c86439808e6af6a15e6
