source_id	source	pinned_version_or_artifact	local_evidence	sha256_or_identifier	scope
P5BI-PUBLIC-001	KoCleo/mtk-easy-su	8c6871ac7c15b8e98a47e25c35ab93b87e260475	artifacts/phase5/mtk-easy-su-current-review-20260804-01/repo-metadata.tsv	909ed48dbf2442d53ff140d46148a25ce1fda63cedce5dac9ac36e512997e13d	legacy MediaTek bootless-root wrapper; public README warns post-March-2020 firmware may block the method
P5BI-PUBLIC-002	KoCleo/mtk-easy-su mtk-su64 LFS object	8c6871ac7c15b8e98a47e25c35ab93b87e260475	artifacts/phase5/mtk-easy-su-current-review-20260804-01/repo-metadata.tsv	328632e853ff6427af9f35cb83a91d9e960f35d01188ee66d46ae9c7ce7c7827	matches the previously executed MTK-SU-CMDQ-T03 payload
P5BI-PUBLIC-003	HackMD exploit survey	public page reviewed 2026-08-04	web review; findings/phase-5x-android-implementation-and-route-review.md	URL recorded in report	vendor-specific MTK preloader/boot-chain examples; no exact trona/MT8183/Android 9 profile found in the reviewed page
P5BI-DEVICE-001	PS7330 exact-device baseline	PS7330.4104N / Android 9 / MT8183	adb/phase5/PHASE5X-ROUTE-SURFACE-20260804-03/ and prior exact-device evidence	see findings/phase-5az-evidence-index.md	current device identity and shell/runtime boundary
P5BI-GHOSTLOCK-001	PS7330 source/config compatibility	7.3.3.0 source and captured config	findings/phase-5az-ghostlock-mtk-compatibility.md	see phase-5az-evidence-index.md	source/config candidate only; no signed-image or runtime exploitability proof
P5BI-PS7331-001	Official PS7331 OTA source mapping	PS7331 / 7.3.3.1	artifacts/phase5/ps7331-official-update-source-20260804-01/	9f50d2f321f31d2db6bff9bc463cd5faa3597b2fba83d4c35c10ec9d7fbe3cd5	official full-block OTA; general A/B candidate, not a demonstrated GhostLock fix
P5BI-PS7331-002	PS7331 source-to-inspected-Image semantics	PS7331 inspected Image	artifacts/phase5/ps7331-source-binary-semantic-20260804-01/semantic-comparison.json	PS7331_INSPECTED_IMAGE_CONSISTENT_WITH_PRE_FIX_SOURCE	version-scoped semantic result; exact PS7330 signed binary not proven
P5BI-PS7331-003	PS7331 preserved boot image	firmware/extracted/PS7331/boot.img	firmware/extracted/PS7331/boot.img	cf12e5619d635ecf7927784a4ed15a254a96c1642d1db9e4ca6734b192d6fa1b	read-only host artifact; not written to the device
P5BI-PS7331-004	PS7331 decompressed kernel Image	preserved inspected Image	artifacts/phase5/ps7331-boot-image-inspection-20260804-01/kernel.Image	10638df8d43c83e0799bfe071ef29a8069ad909b320536cff6b58ee5e1efea7d	address-sanitized semantic inspection only
P5BI-PS7331-005	PS7331 build-selected rtmutex source	mt8183/4.4/kernel/locking/rtmutex.c	artifacts/phase5/exact-kernel-source-review-7331-nested-platform-members-20260804-01/extracted/kernel/mediatek/mt8183/4.4/kernel/locking/rtmutex.c	6cb5442a765b69fa74c8c87b3fa8f44ce1cbb67eec45db3290e512f38eb75dde	pre-fix source semantic input
